,contract_award_unique_key,base_and_exercised_options_value,action_date_fiscal_year,period_of_performance_start_date,period_of_performance_current_end_date,product_or_service_code,product_or_service_code_description,recipient_duns,recipient_name,extent_competed,period_of_performance_potential_end_date,solicitation_procedures,naics_code,naics_description,usaspending_permalink,number_of_offers_received,rank
0,CONT_AWD_70SBUR18C00000005_7003_-NONE-_-NONE-,57425486.68,2018,2018-03-03,2023-03-31,R499,SUPPORT- PROFESSIONAL: OTHER,159836121,PAE PROFESSIONAL SERVICES LLC,FULL AND OPEN COMPETITION,2023-03-31,NEGOTIATED PROPOSAL/QUOTE,541513,COMPUTER FACILITIES MANAGEMENT SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_70SBUR18C00000005_7003_-NONE-_-NONE-/,3,0
0,CONT_AWD_HSTS0213JOIA324_7013_HSTS0212DTTC221_7013,5750000.0,2013,2013-08-29,2015-08-28,D318,"IT AND TELECOM- INTEGRATED HARDWARE/SOFTWARE/SERVICES SOLUTIONS, PREDOMINANTLY SERVICES",139727148,ACCENTURE FEDERAL SERVICES LLC,FULL AND OPEN COMPETITION,2015-08-29,NEGOTIATED PROPOSAL/QUOTE,541512,COMPUTER SYSTEMS DESIGN SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_HSTS0213JOIA324_7013_HSTS0212DTTC221_7013/,8,1
1,CONT_AWD_HSTS0212JTTC221_7013_HSTS0212DTTC221_7013,33151300.0,2012,2012-08-01,2014-07-31,D318,"IT AND TELECOM- INTEGRATED HARDWARE/SOFTWARE/SERVICES SOLUTIONS, PREDOMINANTLY SERVICES",139727148,ACCENTURE FEDERAL SERVICES LLC,FULL AND OPEN COMPETITION,2014-07-31,NEGOTIATED PROPOSAL/QUOTE,541512,COMPUTER SYSTEMS DESIGN SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_HSTS0212JTTC221_7013_HSTS0212DTTC221_7013/,8,1
2,CONT_AWD_HSTS0212JTTC432_7013_HSTS0212DTTC205_7013,38309859.4,2012,2012-04-02,2014-04-01,R499,SUPPORT- PROFESSIONAL: OTHER,139727148,ACCENTURE FEDERAL SERVICES LLC,FULL AND OPEN COMPETITION,2014-04-01,NEGOTIATED PROPOSAL/QUOTE,541519,OTHER COMPUTER RELATED SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_HSTS0212JTTC432_7013_HSTS0212DTTC205_7013/,8,1
3,CONT_AWD_HSTS0213JOIA317_7013_HSTS0212DTTC221_7013,6005730.49,2013,2013-11-01,2017-03-31,D318,"IT AND TELECOM- INTEGRATED HARDWARE/SOFTWARE/SERVICES SOLUTIONS, PREDOMINANTLY SERVICES",139727148,ACCENTURE FEDERAL SERVICES LLC,FULL AND OPEN COMPETITION,2017-03-31,NEGOTIATED PROPOSAL/QUOTE,541512,COMPUTER SYSTEMS DESIGN SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_HSTS0213JOIA317_7013_HSTS0212DTTC221_7013/,8,1
4,CONT_AWD_HSTS0216JOIA215_7013_HSTS0212DTTC221_7013,2491246.34,2016,2016-09-06,2017-01-05,D318,"IT AND TELECOM- INTEGRATED HARDWARE/SOFTWARE/SERVICES SOLUTIONS, PREDOMINANTLY SERVICES",139727148,ACCENTURE FEDERAL SERVICES LLC,FULL AND OPEN COMPETITION,2017-01-05,NEGOTIATED PROPOSAL/QUOTE,541512,COMPUTER SYSTEMS DESIGN SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_HSTS0216JOIA215_7013_HSTS0212DTTC221_7013/,8,1
5,CONT_AWD_HSTS0216JOIA142_7013_HSTS0212DTTC221_7013,7735467.03,2016,2016-08-01,2017-01-31,D318,"IT AND TELECOM- INTEGRATED HARDWARE/SOFTWARE/SERVICES SOLUTIONS, PREDOMINANTLY SERVICES",139727148,ACCENTURE FEDERAL SERVICES LLC,FULL AND OPEN COMPETITION,2017-01-31,NEGOTIATED PROPOSAL/QUOTE,541512,COMPUTER SYSTEMS DESIGN SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_HSTS0216JOIA142_7013_HSTS0212DTTC221_7013/,8,1
6,CONT_AWD_HSTS0217JOIA112_7013_HSTS0212DTTC221_7013,16836343.03,2017,2017-07-30,2018-01-29,D318,"IT AND TELECOM- INTEGRATED HARDWARE/SOFTWARE/SERVICES SOLUTIONS, PREDOMINANTLY SERVICES",139727148,ACCENTURE FEDERAL SERVICES LLC,FULL AND OPEN COMPETITION,2018-07-30,NEGOTIATED PROPOSAL/QUOTE,541512,COMPUTER SYSTEMS DESIGN SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_HSTS0217JOIA112_7013_HSTS0212DTTC221_7013/,8,1
7,CONT_AWD_HSTS0216JOIA261_7013_HSTS0212DTTC221_7013,15141221.11,2016,2016-10-01,2017-07-30,D318,"IT AND TELECOM- INTEGRATED HARDWARE/SOFTWARE/SERVICES SOLUTIONS, PREDOMINANTLY SERVICES",139727148,ACCENTURE FEDERAL SERVICES LLC,FULL AND OPEN COMPETITION,2017-07-30,NEGOTIATED PROPOSAL/QUOTE,541512,COMPUTER SYSTEMS DESIGN SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_HSTS0216JOIA261_7013_HSTS0212DTTC221_7013/,8,1
8,CONT_AWD_HSBP1017C00137_7014_-NONE-_-NONE-,26595396.61,2017,2017-09-29,2020-09-28,D301,IT AND TELECOM- FACILITY OPERATION AND MAINTENANCE,139727148,ACCENTURE FEDERAL SERVICES LLC,FULL AND OPEN COMPETITION,2027-09-28,NEGOTIATED PROPOSAL/QUOTE,541519,OTHER COMPUTER RELATED SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_HSBP1017C00137_7014_-NONE-_-NONE-/,7,1
0,CONT_AWD_HSCEMS09J00025_7001_HSHQDC06D00023_7001,6371922.24,2009,2009-09-28,2011-09-22,D399,OTHER ADP & TELECOMMUNICATIONS SVCS,150780674,UNISYS CORPORATION,COMPETITIVE DELIVERY ORDER,2013-09-22,NEGOTIATED PROPOSAL/QUOTE,541513,COMPUTER FACILITIES MANAGEMENT SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_HSCEMS09J00025_7001_HSHQDC06D00023_7001/,3.0,2
1,CONT_AWD_HSBP1014J00567_7014_HSBP1013D00021_7014,57329871.7,2014,2014-09-05,2015-09-04,D399,IT AND TELECOM- OTHER IT AND TELECOMMUNICATIONS,150780674,UNISYS CORPORATION,FULL AND OPEN COMPETITION,2015-09-04,NEGOTIATED PROPOSAL/QUOTE,541512,COMPUTER SYSTEMS DESIGN SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_HSBP1014J00567_7014_HSBP1013D00021_7014/,5.0,2
2,CONT_AWD_HSBP1013J00333_7014_HSBP1013D00021_7014,100000.0,2013,2013-07-19,2013-12-18,D399,IT AND TELECOM- OTHER IT AND TELECOMMUNICATIONS,150780674,UNISYS CORPORATION,FULL AND OPEN COMPETITION,2013-12-18,NEGOTIATED PROPOSAL/QUOTE,541512,COMPUTER SYSTEMS DESIGN SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_HSBP1013J00333_7014_HSBP1013D00021_7014/,5.0,2
3,CONT_AWD_HSBP1017J00757_7014_HSBP1013D00021_7014,85257161.15,2017,2017-09-29,2018-09-28,D399,IT AND TELECOM- OTHER IT AND TELECOMMUNICATIONS,150780674,UNISYS CORPORATION,FULL AND OPEN COMPETITION,2018-09-28,NEGOTIATED PROPOSAL/QUOTE,541512,COMPUTER SYSTEMS DESIGN SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_HSBP1017J00757_7014_HSBP1013D00021_7014/,5.0,2
4,CONT_AWD_HSBP1016J00902_7014_HSBP1013D00021_7014,104512481.32,2016,2016-09-30,2017-09-29,D399,IT AND TELECOM- OTHER IT AND TELECOMMUNICATIONS,150780674,UNISYS CORPORATION,FULL AND OPEN COMPETITION,2017-09-29,NEGOTIATED PROPOSAL/QUOTE,541512,COMPUTER SYSTEMS DESIGN SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_HSBP1016J00902_7014_HSBP1013D00021_7014/,5.0,2
5,CONT_AWD_HSBP1017J00044_7014_HSBP1013D00021_7014,938294.0,2017,2017-01-01,2017-12-31,D399,IT AND TELECOM- OTHER IT AND TELECOMMUNICATIONS,150780674,UNISYS CORPORATION,FULL AND OPEN COMPETITION,2019-12-31,NEGOTIATED PROPOSAL/QUOTE,541512,COMPUTER SYSTEMS DESIGN SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_HSBP1017J00044_7014_HSBP1013D00021_7014/,5.0,2
6,CONT_AWD_HSBP1015J01031_7014_HSBP1013D00021_7014,82416077.19,2015,2015-09-28,2016-09-27,D399,IT AND TELECOM- OTHER IT AND TELECOMMUNICATIONS,150780674,UNISYS CORPORATION,FULL AND OPEN COMPETITION,2016-09-27,NEGOTIATED PROPOSAL/QUOTE,541512,COMPUTER SYSTEMS DESIGN SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_HSBP1015J01031_7014_HSBP1013D00021_7014/,5.0,2
7,CONT_AWD_HSBP1015J00496_7014_HSBP1013D00021_7014,291145.36,2015,2015-07-01,2015-12-31,D399,IT AND TELECOM- OTHER IT AND TELECOMMUNICATIONS,150780674,UNISYS CORPORATION,FULL AND OPEN COMPETITION,2015-12-31,NEGOTIATED PROPOSAL/QUOTE,541512,COMPUTER SYSTEMS DESIGN SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_HSBP1015J00496_7014_HSBP1013D00021_7014/,5.0,2
8,CONT_AWD_70B04C18F00000826_7014_HSBP1013D00021_7014,5983606.68,2018,2018-08-31,2019-09-30,D399,IT AND TELECOM- OTHER IT AND TELECOMMUNICATIONS,150780674,UNISYS CORPORATION,FULL AND OPEN COMPETITION,2019-09-30,NEGOTIATED PROPOSAL/QUOTE,541512,COMPUTER SYSTEMS DESIGN SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_70B04C18F00000826_7014_HSBP1013D00021_7014/,,2
9,CONT_AWD_70B04C18F00000555_7014_HSBP1013D00021_7014,20159147.86,2018,2018-07-19,2020-01-18,D399,IT AND TELECOM- OTHER IT AND TELECOMMUNICATIONS,150780674,UNISYS CORPORATION,FULL AND OPEN COMPETITION,2020-01-18,NEGOTIATED PROPOSAL/QUOTE,541512,COMPUTER SYSTEMS DESIGN SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_70B04C18F00000555_7014_HSBP1013D00021_7014/,,2
10,CONT_AWD_70B04C19F00000997_7014_HSBP1013D00021_7014,17945554.42,2019,2019-09-27,2020-09-26,D399,IT AND TELECOM- OTHER IT AND TELECOMMUNICATIONS,150780674,UNISYS CORPORATION,FULL AND OPEN COMPETITION,2020-09-26,NEGOTIATED PROPOSAL/QUOTE,541512,COMPUTER SYSTEMS DESIGN SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_70B04C19F00000997_7014_HSBP1013D00021_7014/,,2
11,CONT_AWD_70B04C18F00001300_7014_HSBP1013D00021_7014,91060502.86,2018,2018-09-29,2020-05-01,D399,IT AND TELECOM- OTHER IT AND TELECOMMUNICATIONS,150780674,UNISYS CORPORATION,FULL AND OPEN COMPETITION,2020-05-01,NEGOTIATED PROPOSAL/QUOTE,541512,COMPUTER SYSTEMS DESIGN SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_70B04C18F00001300_7014_HSBP1013D00021_7014/,,2
0,CONT_AWD_HSHQDC09J00001_7001_HSHQDC06D00019_7001,14507412.0,2009,2008-11-03,2013-11-02,D302,ADP SYSTEMS DEVELOPMENT SERVICES,835130485,INTERNATIONAL BUSINESS MACHINES CORPORATION,COMPETITIVE DELIVERY ORDER,2013-11-02,NEGOTIATED PROPOSAL/QUOTE,541511,CUSTOM COMPUTER PROGRAMMING SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_HSHQDC09J00001_7001_HSHQDC06D00019_7001/,3.0,3
1,CONT_AWD_HSCETC09J00016_7012_HSHQDC06D00019_7001,7647731.03,2009,2009-09-25,2010-08-31,D302,ADP SYSTEMS DEVELOPMENT SERVICES,835130485,INTERNATIONAL BUSINESS MACHINES CORPORATION,COMPETITIVE DELIVERY ORDER,2014-08-31,NEGOTIATED PROPOSAL/QUOTE,541511,CUSTOM COMPUTER PROGRAMMING SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_HSCETC09J00016_7012_HSHQDC06D00019_7001/,5.0,3
2,CONT_AWD_HSCG3809F900070_7008_-NONE-_-NONE-,200000.0,2009,2009-09-16,2009-10-16,7010,ADPE SYSTEM CONFIGURATION,835130485,INTERNATIONAL BUSINESS MACHINES CORPORATION,FULL AND OPEN COMPETITION,2009-10-16,NEGOTIATED PROPOSAL/QUOTE,541512,COMPUTER SYSTEMS DESIGN SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_HSCG3809F900070_7008_-NONE-_-NONE-/,2.0,3
3,CONT_AWD_HSBP1011P00921_7014_-NONE-_-NONE-,4107.4,2011,2011-09-30,2012-09-29,7030,ADP SOFTWARE,835130485,INTERNATIONAL BUSINESS MACHINES CORPORATION,FULL AND OPEN COMPETITION,2012-09-29,NEGOTIATED PROPOSAL/QUOTE,541519,OTHER COMPUTER RELATED SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_HSBP1011P00921_7014_-NONE-_-NONE-/,1.0,3
4,CONT_AWD_70FA6018F00000029_7022_70FA6018D00000005_7022,1623060.48,2018,2018-06-15,2023-12-31,R499,SUPPORT- PROFESSIONAL: OTHER,835130485,INTERNATIONAL BUSINESS MACHINES CORPORATION,FULL AND OPEN COMPETITION,2023-12-31,NEGOTIATED PROPOSAL/QUOTE,541519,OTHER COMPUTER RELATED SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_70FA6018F00000029_7022_70FA6018D00000005_7022/,,3
0,CONT_AWD_HSBP1014C00049_7014_-NONE-_-NONE-,19287367.59,2014,2014-09-18,2015-09-17,D302,IT AND TELECOM- SYSTEMS DEVELOPMENT,059069211,"NORTHROP GRUMMAN TECHNICAL SERVICES, INC.",FULL AND OPEN COMPETITION,2019-09-17,NEGOTIATED PROPOSAL/QUOTE,541519,OTHER COMPUTER RELATED SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_HSBP1014C00049_7014_-NONE-_-NONE-/,4,4
1,CONT_AWD_HSBP1013C00015_7014_-NONE-_-NONE-,48483294.39,2013,2013-01-24,2014-01-23,D302,IT AND TELECOM- SYSTEMS DEVELOPMENT,059069211,"NORTHROP GRUMMAN TECHNICAL SERVICES, INC.",FULL AND OPEN COMPETITION,2018-01-23,NEGOTIATED PROPOSAL/QUOTE,541519,OTHER COMPUTER RELATED SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_HSBP1013C00015_7014_-NONE-_-NONE-/,4,4
0,CONT_AWD_HSCG2309JTA1000_7008_HSBP1008D01873_7014,1236800.0,2009,2008-12-05,2009-10-09,R421,TECHNICAL ASSISTANCE,081466849,MICROSOFT CORPORATION SITZ IN REDMOND CORPORATION,NOT AVAILABLE FOR COMPETITION,2009-10-09,NEGOTIATED PROPOSAL/QUOTE,541519,OTHER COMPUTER RELATED SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_HSCG2309JTA1000_7008_HSBP1008D01873_7014/,1.0,5
1,CONT_AWD_HSBP1009J24793_7014_HSBP1008D01873_7014,157817.0,2009,2008-12-23,2009-04-30,7030,ADP SOFTWARE,081466849,MICROSOFT CORPORATION SITZ IN REDMOND CORPORATION,,2009-04-30,NEGOTIATED PROPOSAL/QUOTE,541519,OTHER COMPUTER RELATED SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_HSBP1009J24793_7014_HSBP1008D01873_7014/,1.0,5
2,CONT_AWD_HSCETC09C00006_7012_-NONE-_-NONE-,265050.0,2009,2009-09-19,2010-03-18,D302,ADP SYSTEMS DEVELOPMENT SERVICES,081466849,MICROSOFT CORPORATION SITZ IN REDMOND CORPORATION,NOT COMPETED,2010-03-18,NEGOTIATED PROPOSAL/QUOTE,541512,COMPUTER SYSTEMS DESIGN SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_HSCETC09C00006_7012_-NONE-_-NONE-/,1.0,5
3,CONT_AWD_HSBP1010J00037_7014_HSBP1009D02335_7014,1675540.0,2010,2010-01-01,2010-03-31,D399,OTHER ADP & TELECOMMUNICATIONS SVCS,081466849,MICROSOFT CORPORATION SITZ IN REDMOND CORPORATION,NOT COMPETED,2010-03-31,NEGOTIATED PROPOSAL/QUOTE,541519,OTHER COMPUTER RELATED SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_HSBP1010J00037_7014_HSBP1009D02335_7014/,1.0,5
