,action_date_fiscal_year,base_and_exercised_options_value,federal_action_obligation,base_and_all_options_value,action_date,recipient_duns,recipient_name
0,2009,7684.56,7684.56,7684.56,2009-09-30,603814054,GOVERNMENT ACQUISITIONS INCORPORATED
1,2009,63240.0,63240.0,63240.0,2009-02-24,603814054,GOVERNMENT ACQUISITIONS INCORPORATED
2,2009,27102.08,0.0,27102.08,2009-09-30,942408766,M A FEDERAL INCORPORATED (2233)
3,2009,8134.39,8134.39,8134.39,2009-09-08,013358002,MYTHICS INCORPORATED
4,2009,64461.36,64461.36,64461.36,2009-03-31,785944489,LLOYDS REGISTER QUALITY ASSURANCE LTD
5,2009,36735.0,36735.0,36735.0,2009-04-10,824747638,"OM OFFICE SUPPLY, INC."
6,2009,10998.53,10998.53,10998.53,2009-09-24,054007823,NET DIRECT SYSTEMS LIMITED LIABILITY COMPANY
7,2009,7265.96,7265.96,7265.96,2009-07-30,957050883,GOVPLACE
8,2009,4550242.71,4550242.71,4550242.71,2009-09-21,957050883,GOVPLACE
9,2009,154272.2,154272.2,154272.2,2009-09-22,136483802,EG SOLUTIONS LIMITED LIABILITY COMPANY
10,2009,47730.32,47730.32,47730.32,2009-03-20,136483802,EG SOLUTIONS LIMITED LIABILITY COMPANY
11,2009,18711.06,18711.06,18711.06,2009-03-09,957050883,GOVPLACE
12,2009,11866.13,11866.13,11866.13,2009-08-03,619719693,WILDFLOWER INTERNATIONAL LIMITED
13,2009,22257.0,22257.0,22257.0,2009-05-07,090599171,"SIGNATURE TECHNOLOGY SOLUTIONS, INC."
14,2009,5757.66,5757.66,5757.66,2009-02-13,004693904,"ISYS, LLC"
15,2009,12597.95,12597.95,12597.95,2009-07-10,619719693,WILDFLOWER INTERNATIONAL LIMITED
16,2009,3376.21,3376.21,3376.21,2009-01-07,619719693,WILDFLOWER INTERNATIONAL LIMITED
17,2009,2879.04,2879.04,2879.04,2008-10-31,968904698,CELLCO PARTNERSHIP DBA VERIZON WIRELESS
18,2009,6578.95,6578.95,6578.95,2009-03-31,825270858,COMPUTER MISSION
19,2009,5635.12,5635.12,5635.12,2009-07-31,621796044,COMPUTER WORLD SERVICES CORPORATION
20,2009,20787.65,20787.65,20787.65,2009-09-25,603814054,GOVERNMENT ACQUISITIONS INCORPORATED
21,2009,23600.0,23600.0,23600.0,2009-05-20,603814054,GOVERNMENT ACQUISITIONS INCORPORATED
22,2009,66507.66,66507.66,66507.66,2009-06-01,931219716,AVAYA INCORPORATED GOVERNMENT SOLUTIONS BRANCH
23,2009,165000.0,165000.0,165000.0,2008-10-16,048870724,"ATLANTIC COMMTECH, INC"
24,2009,23684.1,23684.1,23684.1,2009-09-09,957050883,GOVPLACE
25,2009,15223.8,15223.8,15223.8,2009-07-12,957050883,GOVPLACE
26,2009,27717.41,27717.41,27717.41,2009-09-01,957050883,GOVPLACE
27,2009,58320.0,58320.0,58320.0,2008-11-04,808442065,3RD RING
28,2009,42764.36,42764.36,42764.36,2009-03-18,619719693,WILDFLOWER INTERNATIONAL LIMITED
29,2009,24411.5,24411.5,24411.5,2009-04-07,619719693,WILDFLOWER INTERNATIONAL LIMITED
