,contract_award_unique_key,base_and_exercised_options_value,action_date_fiscal_year,period_of_performance_start_date,period_of_performance_current_end_date,product_or_service_code,product_or_service_code_description,recipient_duns,recipient_name,extent_competed,period_of_performance_potential_end_date,solicitation_procedures,naics_code,naics_description,usaspending_permalink,number_of_offers_received,rank
0,CONT_AWD_DOCDG133E09CN0094_1330_-NONE-_-NONE-,684904538.0,2009,2009-05-27,2019-05-31,D302,ADP SYSTEMS DEVELOPMENT SERVICES,021715206,HARRIS CORPORATION,FULL AND OPEN COMPETITION,2019-05-31,NEGOTIATED PROPOSAL/QUOTE,541512,COMPUTER SYSTEMS DESIGN SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_DOCDG133E09CN0094_1330_-NONE-_-NONE-/,2,0
0,CONT_AWD_DOCRA133509SE4206_1330_-NONE-_-NONE-,3544.6,2009,2009-09-04,2010-09-30,J070,MAINT-REP OF ADP EQ & SUPPLIES,835130485,INTERNATIONAL BUSINESS MACHINES CORPORATION,NOT COMPETED UNDER SAP,2010-09-30,SIMPLIFIED ACQUISITION,541519,OTHER COMPUTER RELATED SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_DOCRA133509SE4206_1330_-NONE-_-NONE-/,1.0,1
1,CONT_AWD_DOCDG133E09SE4274_1330_-NONE-_-NONE-,27030.0,2009,2009-09-08,2010-09-30,D302,ADP SYSTEMS DEVELOPMENT SERVICES,835130485,INTERNATIONAL BUSINESS MACHINES CORPORATION,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,2010-09-30,SIMPLIFIED ACQUISITION,541511,CUSTOM COMPUTER PROGRAMMING SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_DOCDG133E09SE4274_1330_-NONE-_-NONE-/,2.0,1
2,CONT_AWD_DOCHA133F10NC2013_1330_-NONE-_-NONE-,53939.06,2010,2010-08-11,2010-09-13,7030,ADP SOFTWARE,835130485,INTERNATIONAL BUSINESS MACHINES CORPORATION,FULL AND OPEN COMPETITION,2010-09-13,NEGOTIATED PROPOSAL/QUOTE,541519,OTHER COMPUTER RELATED SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_DOCHA133F10NC2013_1330_-NONE-_-NONE-/,1.0,1
3,CONT_AWD_DOCDG133010SU2362_1330_-NONE-_-NONE-,28384.0,2010,2010-09-16,2011-09-20,7021,ADP CENTRAL PROCESSING UNIT-DIGITAL,835130485,INTERNATIONAL BUSINESS MACHINES CORPORATION,NOT COMPETED,2011-09-20,ONLY ONE SOURCE,541519,OTHER COMPUTER RELATED SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_DOCDG133010SU2362_1330_-NONE-_-NONE-/,1.0,1
4,CONT_AWD_DOCDG133E10SE0901_1330_-NONE-_-NONE-,5093.5,2010,2010-02-02,2010-02-26,D399,OTHER ADP & TELECOMMUNICATIONS SVCS,835130485,INTERNATIONAL BUSINESS MACHINES CORPORATION,COMPETED UNDER SAP,2010-09-30,SIMPLIFIED ACQUISITION,541519,OTHER COMPUTER RELATED SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_DOCDG133E10SE0901_1330_-NONE-_-NONE-/,1.0,1
5,CONT_AWD_DOCYA132310SE0499_1323_-NONE-_-NONE-,94465.6,2010,2010-06-28,2011-04-30,J070,MAINT-REP OF ADP EQ & SUPPLIES,835130485,INTERNATIONAL BUSINESS MACHINES CORPORATION,FULL AND OPEN COMPETITION,2011-04-30,NEGOTIATED PROPOSAL/QUOTE,541519,OTHER COMPUTER RELATED SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_DOCYA132310SE0499_1323_-NONE-_-NONE-/,2.0,1
6,CONT_AWD_DOCYA132310SE0294_1323_-NONE-_-NONE-,9116.0,2010,2010-03-24,2011-03-23,J070,MAINT-REP OF ADP EQ & SUPPLIES,835130485,INTERNATIONAL BUSINESS MACHINES CORPORATION,NOT COMPETED,2011-03-23,ONLY ONE SOURCE,541511,CUSTOM COMPUTER PROGRAMMING SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_DOCYA132310SE0294_1323_-NONE-_-NONE-/,1.0,1
7,CONT_AWD_DOCRA133511SE0051_1330_-NONE-_-NONE-,3749.6,2011,2010-10-07,2011-09-30,J070,MAINT-REP OF ADP EQ & SUPPLIES,835130485,INTERNATIONAL BUSINESS MACHINES CORPORATION,NOT COMPETED UNDER SAP,2011-09-30,SIMPLIFIED ACQUISITION,541519,OTHER COMPUTER RELATED SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_DOCRA133511SE0051_1330_-NONE-_-NONE-/,1.0,1
8,CONT_AWD_DOCDG133011CN0083_1330_-NONE-_-NONE-,11473632.0,2011,2011-08-31,2012-09-30,R425,ENGINEERING AND TECHNICAL SERVICES,835130485,INTERNATIONAL BUSINESS MACHINES CORPORATION,NOT COMPETED,2013-09-30,ONLY ONE SOURCE,541512,COMPUTER SYSTEMS DESIGN SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_DOCDG133011CN0083_1330_-NONE-_-NONE-/,1.0,1
