,action_date_fiscal_year,base_and_exercised_options_value,federal_action_obligation,base_and_all_options_value,action_date,recipient_duns,recipient_name
0,2009,42154.72,42154.72,0.0,2009-03-31,009039939,COMMUNICATIONS RESOURCE INCORPORATED
1,2009,134675.25,134675.25,134675.25,2009-01-15,168926264,"DAKOTA CONSULTING, INCORPORATED"
2,2009,327386.0,327386.0,327386.0,2009-04-30,929100022,INFOTECH SYSTEMS ANALYSTS INC
3,2009,53284.0,53284.0,53284.0,2009-04-07,089072826,KT CONSULTING INCORPORATED
4,2009,240879.54,240879.54,240879.54,2009-03-11,090770967,"EARTH RESOURCES TECHNOLOGY, INC."
5,2009,500000.0,500000.0,2530800.0,2009-09-15,788299782,AMDEX CORPORATION
6,2009,151584.0,151584.0,151584.0,2009-07-14,125997127,"TIKIGAQ TECHNOLOGY SERVICES, LLC"
7,2009,2756.88,2756.88,2756.88,2009-03-16,622827525,"I.M. SYSTEMS GROUP, INC."
8,2009,181855.0,181855.0,181855.0,2008-10-28,135962137,COMPUTER SCIENCES CORPORATION CIVIL GROUP
9,2009,1801981.64,1801981.64,1801981.64,2009-07-01,786244066,"DIVERSIFIED GLOBAL PARTNERS JV, LLC"
10,2009,427579.26,427579.26,427579.26,2009-09-18,154050959,THE PRESIDIO CORPORATION
11,2009,64292.8,64292.8,0.0,2009-06-17,145965872,"HMS TECHNOLOGIES, INC."
12,2009,48460.5,48460.5,48460.5,2009-04-30,142120745,CHUGACH INDUSTRIES INCORPORATED
13,2009,199559.62,199559.62,199559.62,2009-06-12,023601987,ALAMO CITY ENGINEERING SERVICES INCORPORATED
14,2009,231949.19,231949.19,0.0,2009-09-01,827006867,RS INFORMATION SYSTEMS INCORPORATED
15,2009,33150.0,33150.0,33150.0,2009-08-07,125997127,"TIKIGAQ TECHNOLOGY SERVICES, LLC"
16,2009,716.03,716.03,716.03,2009-04-14,968904698,CELLCO PARTNERSHIP DBA VERIZON WIRELESS
17,2009,46699.0,46699.0,46699.0,2009-03-11,786468199,"DLT SOLUTIONS, INC."
18,2009,198255.93,198255.93,198255.93,2009-03-11,098692374,IMMIXTECHNOLOGY INCORPORATED
19,2009,286516.8,0.0,286516.8,2009-09-15,168926264,"DAKOTA CONSULTING, INCORPORATED"
20,2009,548200.0,548200.0,548200.0,2009-05-27,188243836,RESTON CONSULTING GROUP INC
21,2009,96480.0,96480.0,96480.0,2009-08-21,847092954,"CITADEL GROUP, THE"
22,2009,18908.63,18908.63,18908.63,2009-09-16,933678708,RED RIVER COMPUTER COMPANY INCORPORATED
23,2009,19088.25,19088.25,19088.25,2009-06-10,096027870,ACCELERA SOLUTIONS INCORPORATED
24,2009,31470.0,31470.0,31470.0,2009-05-05,786468199,"DLT SOLUTIONS, LLC"
25,2009,227048.0,227048.0,227048.0,2008-10-01,622496230,PROJECT PERFORMANCE CORPORATION
26,2009,98081.51,98081.51,0.0,2009-09-15,094738007,SIMPLEXGRINNELL LP
27,2009,935000.0,935000.0,935000.0,2009-07-28,125997127,"TIKIGAQ TECHNOLOGY SERVICES, LLC"
28,2009,11226.98,11226.98,11226.98,2009-04-17,825062813,DYNAMIC SYSTEMS INCORPORATED (8829)
29,2009,149068.0,149068.0,149068.0,2009-07-30,016890845,"MISSING LINK COMMUNICATIONS, INC."
30,2009,4428.0,4428.0,4428.0,2009-01-27,135962137,COMPUTER SCIENCES CORPORATION CIVIL GROUP
31,2009,1060000.0,1060000.0,1412618.0,2009-08-13,067641597,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC."
