,noofaward,total,recipient_duns,recipient_name
0,87,"$18,821,602,008.48",080272604,"LEIDOS, INC."
1,146,"$8,939,812,309.62",805258373,"LOCKHEED MARTIN SERVICES, INC."
2,1214,"$1,749,215,903.05",077817617,"HP ENTERPRISE SERVICES, LLC"
3,808,"$1,165,366,389.23",077817617,ENTERPRISE SERVICES LLC
4,836,"$853,669,280.86",013358002,"MYTHICS, INC"
5,205,"$843,550,187.66",067641597,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC."
6,73,"$812,486,706.71",962048646,NORTHROP GRUMMAN SYSTEMS CORPORATION
7,26,"$614,032,993.34",833063154,"LEIDOS, INC."
8,16,"$585,458,411.50",933678708,"RED RIVER COMPUTER CO., INC."
9,267,"$579,516,898.92",147460526,LOCKHEED MARTIN CORPORATION
10,662,"$569,357,728.49",167880181,"IGOV TECHNOLOGIES, INC."
11,1,"$516,756,481.11",030468243,EXELIS SYSTEMS CORPORATION
12,65,"$482,723,395.67",064683464,NORTHROP GRUMMAN SPACE & MISSION SYSTEMS CORP.
13,49,"$402,984,136.49",064677243,NORTHROP GRUMMAN INFORMATION TECHNOLOGY INCORPORATED (6773)
14,46,"$401,213,604.06",098695323,VION CORPORATION
