,contract_award_unique_key,base_and_exercised_options_value,action_date_fiscal_year,period_of_performance_start_date,period_of_performance_current_end_date,product_or_service_code,product_or_service_code_description,recipient_duns,recipient_name,extent_competed,period_of_performance_potential_end_date,solicitation_procedures,naics_code,naics_description,usaspending_permalink,number_of_offers_received,rank
0,CONT_AWD_0155_9700_SP470112D0006_9700,42524.98,2017,2017-04-04,2017-09-03,D399,IT AND TELECOM- OTHER IT AND TELECOMMUNICATIONS,080272604,"LEIDOS, INC.",FULL AND OPEN COMPETITION,2018-03-28,NEGOTIATED PROPOSAL/QUOTE,541512,COMPUTER SYSTEMS DESIGN SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_0155_9700_SP470112D0006_9700/,1.0,0
1,CONT_AWD_0151_9700_SP470112D0006_9700,934896.0,2017,2017-03-29,2018-03-28,D302,IT AND TELECOM- SYSTEMS DEVELOPMENT,080272604,"LEIDOS, INC.",FULL AND OPEN COMPETITION,2018-09-28,NEGOTIATED PROPOSAL/QUOTE,541512,COMPUTER SYSTEMS DESIGN SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_0151_9700_SP470112D0006_9700/,1.0,0
2,CONT_AWD_0168_9700_SP470112D0006_9700,157956.0,2017,2017-09-28,2018-09-28,D302,IT AND TELECOM- SYSTEMS DEVELOPMENT,080272604,"LEIDOS, INC.",FULL AND OPEN COMPETITION,2020-03-28,NEGOTIATED PROPOSAL/QUOTE,541512,COMPUTER SYSTEMS DESIGN SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_0168_9700_SP470112D0006_9700/,1.0,0
3,CONT_AWD_0163_9700_SP470112D0006_9700,346608.0,2017,2017-09-29,2018-09-28,D302,IT AND TELECOM- SYSTEMS DEVELOPMENT,080272604,"LEIDOS, INC.",FULL AND OPEN COMPETITION,2020-03-28,NEGOTIATED PROPOSAL/QUOTE,541512,COMPUTER SYSTEMS DESIGN SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_0163_9700_SP470112D0006_9700/,1.0,0
4,CONT_AWD_0156_9700_SP470112D0006_9700,15119.34,2017,2017-05-03,2018-05-17,D302,IT AND TELECOM- SYSTEMS DEVELOPMENT,080272604,"LEIDOS, INC.",FULL AND OPEN COMPETITION,2018-05-17,NEGOTIATED PROPOSAL/QUOTE,541512,COMPUTER SYSTEMS DESIGN SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_0156_9700_SP470112D0006_9700/,1.0,0
5,CONT_AWD_0167_9700_SP470112D0006_9700,1014734.94,2017,2017-08-28,2018-08-27,D302,IT AND TELECOM- SYSTEMS DEVELOPMENT,080272604,"LEIDOS, INC.",FULL AND OPEN COMPETITION,2020-03-28,NEGOTIATED PROPOSAL/QUOTE,541512,COMPUTER SYSTEMS DESIGN SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_0167_9700_SP470112D0006_9700/,1.0,0
6,CONT_AWD_0157_9700_SP470112D0006_9700,60214.41,2017,2017-05-11,2018-05-10,D302,IT AND TELECOM- SYSTEMS DEVELOPMENT,080272604,"LEIDOS, INC.",FULL AND OPEN COMPETITION,2018-05-10,NEGOTIATED PROPOSAL/QUOTE,541512,COMPUTER SYSTEMS DESIGN SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_0157_9700_SP470112D0006_9700/,1.0,0
7,CONT_AWD_0160_9700_SP470112D0006_9700,135756.65,2017,2017-07-12,2018-01-11,D302,IT AND TELECOM- SYSTEMS DEVELOPMENT,080272604,"LEIDOS, INC.",FULL AND OPEN COMPETITION,2018-01-11,NEGOTIATED PROPOSAL/QUOTE,541512,COMPUTER SYSTEMS DESIGN SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_0160_9700_SP470112D0006_9700/,1.0,0
8,CONT_AWD_0159_9700_SP470112D0006_9700,5935571.25,2017,2017-06-29,2018-06-28,D302,IT AND TELECOM- SYSTEMS DEVELOPMENT,080272604,"LEIDOS, INC.",FULL AND OPEN COMPETITION,2018-06-28,NEGOTIATED PROPOSAL/QUOTE,541512,COMPUTER SYSTEMS DESIGN SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_0159_9700_SP470112D0006_9700/,1.0,0
9,CONT_AWD_0153_9700_SP470112D0006_9700,184896.0,2017,2017-03-29,2018-03-28,D399,IT AND TELECOM- OTHER IT AND TELECOMMUNICATIONS,080272604,"LEIDOS, INC.",FULL AND OPEN COMPETITION,2018-03-28,NEGOTIATED PROPOSAL/QUOTE,541512,COMPUTER SYSTEMS DESIGN SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_0153_9700_SP470112D0006_9700/,1.0,0
10,CONT_AWD_0150_9700_SP470112D0006_9700,5935571.25,2017,2017-03-29,2017-06-28,D302,IT AND TELECOM- SYSTEMS DEVELOPMENT,080272604,"LEIDOS, INC.",FULL AND OPEN COMPETITION,2018-09-28,NEGOTIATED PROPOSAL/QUOTE,541512,COMPUTER SYSTEMS DESIGN SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_0150_9700_SP470112D0006_9700/,1.0,0
11,CONT_AWD_SP470118F0036_9700_SP470112D0006_9700,7984.25,2018,2017-12-06,2018-04-05,D302,IT AND TELECOM- SYSTEMS DEVELOPMENT,080272604,"LEIDOS, INC.",FULL AND OPEN COMPETITION,2020-03-28,NEGOTIATED PROPOSAL/QUOTE,541512,COMPUTER SYSTEMS DESIGN SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_SP470118F0036_9700_SP470112D0006_9700/,,0
12,CONT_AWD_0158_9700_SP470112D0006_9700,3254650.38,2017,2017-05-11,2018-05-10,D302,IT AND TELECOM- SYSTEMS DEVELOPMENT,080272604,"LEIDOS, INC.",FULL AND OPEN COMPETITION,2018-05-10,NEGOTIATED PROPOSAL/QUOTE,541512,COMPUTER SYSTEMS DESIGN SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_0158_9700_SP470112D0006_9700/,1.0,0
13,CONT_AWD_SP470118F0015_9700_SP470112D0006_9700,52713.72,2018,2017-11-17,2018-11-16,D302,IT AND TELECOM- SYSTEMS DEVELOPMENT,080272604,"LEIDOS, INC.",FULL AND OPEN COMPETITION,2020-03-28,NEGOTIATED PROPOSAL/QUOTE,541512,COMPUTER SYSTEMS DESIGN SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_SP470118F0015_9700_SP470112D0006_9700/,,0
14,CONT_AWD_0162_9700_SP470112D0006_9700,735389.88,2017,2017-09-29,2018-09-28,D302,IT AND TELECOM- SYSTEMS DEVELOPMENT,080272604,"LEIDOS, INC.",FULL AND OPEN COMPETITION,2020-03-28,NEGOTIATED PROPOSAL/QUOTE,541512,COMPUTER SYSTEMS DESIGN SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_0162_9700_SP470112D0006_9700/,1.0,0
15,CONT_AWD_SP470118F0029_9700_SP470112D0006_9700,6109911.0,2018,2017-12-29,2018-03-28,D302,IT AND TELECOM- SYSTEMS DEVELOPMENT,080272604,"LEIDOS, INC.",FULL AND OPEN COMPETITION,2020-03-28,NEGOTIATED PROPOSAL/QUOTE,541512,COMPUTER SYSTEMS DESIGN SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_SP470118F0029_9700_SP470112D0006_9700/,,0
16,CONT_AWD_SP470118F0030_9700_SP470112D0006_9700,78998.52,2018,2017-12-15,2018-12-14,D302,IT AND TELECOM- SYSTEMS DEVELOPMENT,080272604,"LEIDOS, INC.",FULL AND OPEN COMPETITION,2020-03-28,NEGOTIATED PROPOSAL/QUOTE,541512,COMPUTER SYSTEMS DESIGN SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_SP470118F0030_9700_SP470112D0006_9700/,,0
17,CONT_AWD_0164_9700_SP470112D0006_9700,75602.28,2017,2017-09-29,2018-09-28,D302,IT AND TELECOM- SYSTEMS DEVELOPMENT,080272604,"LEIDOS, INC.",FULL AND OPEN COMPETITION,2020-03-28,NEGOTIATED PROPOSAL/QUOTE,541512,COMPUTER SYSTEMS DESIGN SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_0164_9700_SP470112D0006_9700/,1.0,0
18,CONT_AWD_0154_9700_SP470112D0006_9700,110936.0,2017,2017-03-28,2018-03-28,D399,IT AND TELECOM- OTHER IT AND TELECOMMUNICATIONS,080272604,"LEIDOS, INC.",FULL AND OPEN COMPETITION,2018-03-28,NEGOTIATED PROPOSAL/QUOTE,541512,COMPUTER SYSTEMS DESIGN SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_0154_9700_SP470112D0006_9700/,1.0,0
19,CONT_AWD_0165_9700_SP470112D0006_9700,71389.92,2017,2017-09-29,2018-09-28,D302,IT AND TELECOM- SYSTEMS DEVELOPMENT,080272604,"LEIDOS, INC.",FULL AND OPEN COMPETITION,2020-03-28,NEGOTIATED PROPOSAL/QUOTE,541512,COMPUTER SYSTEMS DESIGN SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_0165_9700_SP470112D0006_9700/,1.0,0
20,CONT_AWD_0152_9700_SP470112D0006_9700,55204.2,2017,2017-04-06,2018-04-05,D302,IT AND TELECOM- SYSTEMS DEVELOPMENT,080272604,"LEIDOS, INC.",FULL AND OPEN COMPETITION,2018-09-28,NEGOTIATED PROPOSAL/QUOTE,541512,COMPUTER SYSTEMS DESIGN SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_0152_9700_SP470112D0006_9700/,1.0,0
21,CONT_AWD_0161_9700_SP470112D0006_9700,6109911.0,2017,2017-09-29,2018-09-28,D302,IT AND TELECOM- SYSTEMS DEVELOPMENT,080272604,"LEIDOS, INC.",FULL AND OPEN COMPETITION,2020-03-28,NEGOTIATED PROPOSAL/QUOTE,541512,COMPUTER SYSTEMS DESIGN SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_0161_9700_SP470112D0006_9700/,1.0,0
22,CONT_AWD_HDTRA117F0016_9700_HDTRA108D0016_9700,815969.0,2017,2017-06-02,2017-08-31,D399,IT AND TELECOM- OTHER IT AND TELECOMMUNICATIONS,080272604,LEIDOS INNOVATIONS CORPORATION,FULL AND OPEN COMPETITION,2019-08-31,NEGOTIATED PROPOSAL/QUOTE,541513,COMPUTER FACILITIES MANAGEMENT SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_HDTRA117F0016_9700_HDTRA108D0016_9700/,9.0,0
23,CONT_AWD_0166_9700_SP470112D0006_9700,136464.0,2017,2017-09-29,2018-09-28,D302,IT AND TELECOM- SYSTEMS DEVELOPMENT,080272604,"LEIDOS, INC.",FULL AND OPEN COMPETITION,2020-03-28,NEGOTIATED PROPOSAL/QUOTE,541512,COMPUTER SYSTEMS DESIGN SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_0166_9700_SP470112D0006_9700/,1.0,0
24,CONT_AWD_SP470118F0037_9700_SP470112D0006_9700,1741540.66,2018,2017-12-13,2018-12-12,D302,IT AND TELECOM- SYSTEMS DEVELOPMENT,080272604,"LEIDOS, INC.",FULL AND OPEN COMPETITION,2020-03-28,NEGOTIATED PROPOSAL/QUOTE,541512,COMPUTER SYSTEMS DESIGN SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_SP470118F0037_9700_SP470112D0006_9700/,,0
