,action_date_fiscal_year,base_and_exercised_options_value,federal_action_obligation,base_and_all_options_value,action_date,recipient_duns,recipient_name
0,2009,4994.55,4994.55,4994.55,2009-08-19,088365767,CARAHSOFT TECHNOLOGY CORPORATION
1,2009,147780.0,147780.0,147780.0,2009-05-14,032869526,DILIGENT CONSULTING INC
2,2009,24120.0,24120.0,24120.0,2009-05-01,799207337,"SALEM AUTOMATION, INC."
3,2009,3238.07,3238.07,3238.07,2009-07-29,959391509,"UNISTAR-SPARCO COMPUTERS, INC."
4,2009,5267.45,5267.45,5267.45,2009-05-04,122496735,"EMBRACE TECHNOLOGIES, INC."
5,2009,24292.55,24292.55,24292.55,2009-02-17,002131217,"HYATT'S GRAPHIC SUPPLY CO., INC."
6,2009,98733.53,90146.35,98733.53,2009-09-08,807596051,"FEDERAL NETWORK SERVICES, INC."
7,2009,59591.62,59591.62,59591.62,2009-03-03,556417814,LOYOLA ENTERPRISES INC
8,2009,28911.15,28911.15,28911.15,2009-08-06,020278375,"L-3 SERVICES, INC."
9,2009,75161.28,75161.28,75161.28,2009-04-03,039846097,"QUANTUM DYNAMICS, INC"
10,2009,118684.76,118684.76,118684.76,2009-09-28,199748674,"DATA NETWORKS, INC."
11,2009,9357.32,9357.32,9357.32,2008-12-16,556054591,"FORCE 3, INC."
12,2009,333625.49,333625.49,333625.49,2009-06-24,013188409,ALATEC INCORPORATED
13,2009,4084689.0,2135954.0,4084689.0,2009-05-19,189611093,"EVENTURE TECHNOLOGIES, LLC"
14,2009,137878.88,137878.88,137878.88,2009-07-17,020751082,MCI COMMUNICATIONS SERVICES INC
15,2009,11426.0,11426.0,11426.0,2009-02-03,133560511,"ESI ACQUISITION, INC."
16,2009,551713.83,551713.83,551713.83,2009-02-10,062357538,"WALKER AND ASSOCIATES, INC."
17,2009,11681.0,11681.0,11681.0,2009-02-06,163361137,"SABER DESIGN AND ANALYSIS SERVICES, LLC"
18,2009,14556.67,14556.67,14556.67,2009-06-16,061518296,PROJECT TIME AND COST INCORPORATED
19,2009,11210.24,11210.24,11210.24,2009-04-20,073521101,"MERLIN INTERNATIONAL, INC."
20,2009,1549988.0,1549988.0,1549988.0,2009-06-01,004649125,BAE SYSTEMS INFORMATION TECHNOLOGY INC.
21,2009,241805.0,241805.0,241805.0,2009-09-16,621562342,NAMTEK CORP.
22,2009,69649.78,69649.78,69649.78,2009-06-10,169933533,PROTEUS TECHNOLOGIES LLC
23,2009,76622.91,76622.91,76622.91,2009-09-16,167036016,SEEDS OF GENIUS CORPORATION
24,2009,53353.22,53353.22,53353.22,2009-06-23,017444196,NOVA TECHNOLOGIES AN EMPLOYEE OWNED ENGINEERING COMPANY
25,2009,33144.28,33144.28,33144.28,2009-09-03,927279273,NORTHWEST HYDRAULIC CONSULTANT INC
26,2009,74677.46,74677.46,74677.46,2009-05-15,023966067,"FRONTLINE CONTROLS, INC."
27,2009,182157.0,182157.0,182157.0,2009-05-19,189611093,"EVENTURE TECHNOLOGIES, LLC"
28,2009,2083993.36,2083993.36,2083993.36,2009-09-24,167880181,"IGOV TECHNOLOGIES, INC."
29,2009,1116030.2,1116030.2,1116030.2,2009-04-24,148095086,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
30,2009,32245.18,32245.18,32245.18,2009-03-23,877936518,DELL MARKETING L.P.
31,2009,218910.4,218910.4,218910.4,2009-05-21,827521519,"REGENT SYSTEMS, INC"
32,2009,24816.0,24816.0,24816.0,2009-09-15,096598248,"LOGISTIC SERVICES INTERNATIONAL, INC."
33,2009,1233257.2,1233257.2,1233257.2,2009-02-02,058605858,LOCKHEED MARTIN GOVERNMENT SER
34,2009,8252.96,8252.96,8252.96,2009-03-31,783862217,"IRON BRICK ASSOCIATES, LLC"
