,noofaward,total,recipient_duns,recipient_name
0,9,"$576,081,041.79",011367237,LOCKHEED MARTIN CORPORATION
1,10,"$136,724,194.38",078604247,LOCKHEED MARTIN CORPORATION
2,42,"$102,735,116.49",154050959,PRESIDIO NETWORKED SOLUTIONS LLC
3,31,"$69,757,747.82",139727148,ACCENTURE FEDERAL SERVICES LLC
4,23,"$69,319,654.68",614948396,"WORLD WIDE TECHNOLOGY, INC."
5,136,"$59,316,499.67",614948396,WORLD WIDE TECHNOLOGY INCORPORATED
6,3,"$58,155,729.18",006928857,BOOZ ALLEN HAMILTON INC.
7,2,"$54,221,973.00",800127859,"OCTO CONSULTING GROUP, INC."
8,3,"$53,895,684.44",150780674,UNISYS CORPORATION
9,94,"$51,731,800.00",081466849,MICROSOFT CORPORATION SITZ IN REDMOND CORPORATION
10,17,"$49,882,316.23",809887164,"THUNDERCAT TECHNOLOGY, LLC"
11,6,"$47,898,422.82",078565248,"ARCTIC SLOPE MISSION SERVICES, LLC"
12,1,"$43,962,465.76",780414652,"STG, INC."
13,25,"$40,898,811.47",066781865,KEANE FEDERAL SYSTEMS INC
14,107,"$39,478,781.10",858485758,ACCENTURE LLP
