,action_date_fiscal_year,base_and_exercised_options_value,federal_action_obligation,base_and_all_options_value,action_date,recipient_duns,recipient_name
0,2009,24990.0,24990.0,24990.0,2009-06-03,620001388,"ROCKET SOFTWARE, INC."
1,2009,4000.0,4000.0,4000.0,2008-10-23,968904698,CELLCO PARTNERSHIP DBA VERIZON WIRELESS
2,2009,1200000.0,1200000.0,1200000.0,2008-12-09,006928857,BOOZ ALLEN HAMILTON INC
3,2009,751.84,751.84,751.84,2008-10-27,968904698,CELLCO PARTNERSHIP DBA VERIZON WIRELESS
4,2009,2224133.24,2224133.24,2224133.24,2008-11-06,078351306,CSC INFORMATION SYSTEMS LIMITED LIABILITY COMPANY
5,2009,6365.82,6365.82,6365.82,2008-12-17,966833766,"SWORD & SHIELD ENTERPRISE SECURITY, INC."
6,2009,114504.57,114504.57,114504.57,2009-09-11,107939357,GTSI CORPORATION
7,2009,267862.4,267862.4,267862.4,2009-07-23,135726185,"BARLING BAY, LLC"
8,2009,961787.16,961787.16,961787.16,2009-03-30,614948396,WORLD WIDE TECHNOLOGY INCORPORATED
9,2009,148000.0,148000.0,148000.0,2008-12-19,839671596,TRIRIGA INC
10,2009,43456.0,43456.0,43456.0,2008-11-13,066781865,KEANE FEDERAL SYSTEMS INC
11,2009,295879.6,295879.6,295879.6,2008-12-29,019933084,INNOVATIVE MANAGEMENT AND TECH
12,2009,7980.0,7980.0,7980.0,2008-10-16,968904698,CELLCO PARTNERSHIP DBA VERIZON WIRELESS
13,2009,17280.0,17280.0,17280.0,2008-11-20,097220180,"GARTNER, INC."
14,2009,6840.0,6840.0,6840.0,2008-10-01,968904698,CELLCO PARTNERSHIP DBA VERIZON WIRELESS
15,2009,27000.0,27000.0,27000.0,2008-11-06,604185442,SPEARHEAD ELECTRONIC DEVICES LLC
16,2009,2758.92,2758.92,2758.92,2008-12-10,003548489,AT&T MOBILITY LLC
17,2009,200271.48,200271.48,200271.48,2008-10-01,098692374,IMMIXTECHNOLOGY INC
18,2009,4700.0,4700.0,4700.0,2008-12-18,008105103,"USTRONICS.COM, INC."
19,2009,7541.7,7541.7,7541.7,2009-06-16,614948396,WORLD WIDE TECHNOLOGY INCORPORATED
20,2009,0.0,0.0,0.0,2008-10-01,141315924,"SATCOM DIRECT COMMUNICATIONS, INC."
21,2009,18225.12,18225.12,18225.12,2008-10-21,968904698,CELLCO PARTNERSHIP DBA VERIZON WIRELESS
22,2009,4101.6,4101.6,4101.6,2008-10-28,968904698,CELLCO PARTNERSHIP DBA VERIZON WIRELESS
23,2009,441176.0,441176.0,441176.0,2008-10-08,162304351,ACCESS SYSTEMS INCORPORATED
24,2009,68463.13,68463.13,68463.13,2008-10-24,098692374,IMMIXTECHNOLOGY INC
25,2009,8574.61,8574.61,8574.61,2008-10-30,003548489,AT&T MOBILITY LLC
26,2009,21360284.61,3176120.74,21360284.61,2008-12-03,162304351,ACCESS SYSTEMS INCORPORATED
27,2009,15424.0,15424.0,15424.0,2008-12-04,884932443,COLEMAN TECHNOLOGIES INC
28,2009,8800735.8,8800735.8,8800735.8,2008-12-01,883778896,COMPUTER SCIENCES CORPORATION
29,2009,11558.22,11558.22,11558.22,2009-07-24,966833766,"SWORD & SHIELD ENTERPRISE SECURITY, INC."
30,2009,41660.97,41660.97,41660.97,2008-10-05,615378007,FCN
31,2009,594104.0,594104.0,594104.0,2009-06-11,042135348,GLOTECH INCORPORATED
32,2009,4767487.08,4767487.08,0.0,2008-10-29,835130485,INTERNATIONAL BUSINESS MACHINE
33,2009,1100.0,1100.0,1100.0,2008-10-01,098692374,IMMIXTECHNOLOGY INC
34,2009,38602.06,38602.06,38602.06,2008-11-04,929022028,SOFTCHOICE CORPORATION
35,2009,2154.57,2154.57,2154.57,2008-12-23,096027870,ACCELERA SOLUTIONS INCORPORATED
36,2009,33016.0,33016.0,33016.0,2008-10-22,808845320,"ROACH, FREDERICK H"
37,2009,456259.0,456259.0,456259.0,2009-07-21,036943280,VISIONARY INTEGRATION PROFESSI
38,2009,5150.0,5150.0,5150.0,2008-10-29,858485758,ACCENTURE LLP
39,2009,30440.0,2545.0,30440.0,2008-12-16,071973135,REGIONAL JUSTICE INFORMATION SERVICE
40,2009,41388.19,41388.19,41388.19,2009-08-19,098692374,IMMIXTECHNOLOGY INC
41,2009,2208396.0,2208396.0,2208396.0,2009-07-09,107939357,GTSI CORPORATION
42,2009,501168.35,501168.35,501168.35,2009-09-02,064299332,EMTEC FEDERAL INCORPORATED
43,2009,5989.5,2995.0,5989.5,2008-12-02,029090243,"SEISINT SYSTEMS, INC."
44,2009,66240.0,66240.0,331200.0,2008-11-07,121541254,E-NET CORPORATION
45,2009,54462.0,54462.0,54462.0,2008-10-01,154050959,THE PRESIDIO CORPORATION
46,2009,145858.56,145858.56,145858.56,2008-10-10,926338492,PARADIGM SOLUTIONS CORPORATION
47,2009,200000.0,200000.0,200000.0,2008-12-05,093377690,DAVID HALE ASSOCIATES INCORPORATED
48,2009,707.8,707.8,707.8,2008-10-01,786468199,"DLT SOLUTIONS, INC."
49,2009,30415.97,30415.97,30415.97,2008-11-26,026157235,CDW GOVERNMENT INCORPORATED
50,2009,71728.33,71728.33,71728.33,2008-10-01,098692374,IMMIXTECHNOLOGY INC
51,2009,422024.29,422024.29,422024.29,2008-12-22,007232429,KNOWLEDGE CONSULTING GROUP
52,2009,34599.0,34599.0,34599.0,2008-12-09,837829084,TECHNICA CORPORATION
53,2009,3219.6,3219.6,3219.6,2008-10-01,968904698,CELLCO PARTNERSHIP DBA VERIZON WIRELESS
54,2009,446922.01,446922.01,446922.01,2008-12-29,066781865,KEANE FEDERAL SYSTEMS INC
55,2009,6900.0,6900.0,6900.0,2008-10-01,003548489,AT&T MOBILITY LLC
56,2009,207303.94,207303.94,207303.94,2008-12-22,160759135,ALVAREZ AND ASSOCIATES LIMITED LIABILITY COMPANY
57,2009,562718.75,562718.75,562718.75,2008-10-22,001588297,CRUCIAL SECURITY INCORPORATED
58,2009,11800.0,11800.0,11800.0,2008-10-01,968904698,CELLCO PARTNERSHIP DBA VERIZON WIRELESS
59,2009,44836.33,44836.33,44836.33,2008-10-01,154050959,THE PRESIDIO CORPORATION
60,2009,164208.58,164208.58,164208.58,2008-11-24,168549199,"INQUISIT, LLC"
61,2009,568709.34,568709.34,568709.34,2008-11-06,188552384,"COMSO, INC"
62,2009,150825.0,150825.0,150825.0,2008-11-19,107939357,GTSI CORPORATION
63,2009,53152.06,53152.06,53152.06,2009-09-30,135910698,RIGHTSTAR SYSTEMS INCORPORATED
64,2009,2224448.3,807170.93,2224448.3,2009-09-15,004649125,BAE SYSTEMS INFORMATION TECHNOLOGY INCORPORATED
