,noofaward,total,recipient_duns,recipient_name
0,6,"$258,920,099.08",835130485,INTERNATIONAL BUSINESS MACHINES CORPORATION
1,1,"$117,377,304.00",097779698,SYSTEMS RESEARCH AND APPLICATIONS
2,1,"$48,998,192.22",077799799,AMERICAN SYSTEMS CORPORATION
3,6,"$44,437,313.65",613194799,"QINETIQ NORTH AMERICA, INC."
4,2,"$38,767,892.17",014125442,"TECHFLOW, INC"
5,3,"$36,877,887.83",006928857,BOOZ ALLEN HAMILTON INC
6,1,"$34,799,958.98",130788826,"L3 TECHNOLOGIES, INC."
7,1,"$29,994,003.00",064677243,NORTHROP GRUMMAN INFORMATION TECHNOLOGY INCORPORATED (6773)
8,1,"$29,344,829.17",147268023,WESTAR AEROSPACE AND DEFENSE GROUP INCORPORATED (1356)
9,26,"$28,809,923.04",116207978,"APPTIS, INC."
10,1,"$28,136,466.00",092518794,ITS CORPORATION
11,2,"$25,214,793.37",013358002,"MYTHICS, INC"
12,1,"$24,547,531.56",079143875,QUANTADYN TECHNICAL SERVICES CORPORATION
13,5,"$21,593,643.00",145969783,CGI FEDERAL INCORPORATED
14,2,"$20,756,652.00",145789710,SBI TECHNOLOGIES CORPORATION
