,contract_award_unique_key,base_and_exercised_options_value,action_date_fiscal_year,period_of_performance_start_date,period_of_performance_current_end_date,product_or_service_code,product_or_service_code_description,recipient_duns,recipient_name,extent_competed,period_of_performance_potential_end_date,solicitation_procedures,naics_code,naics_description,usaspending_permalink,number_of_offers_received,rank
0,CONT_AWD_GST1110BJ8013_4735_GS00Q09BGD0034_4735,2450184.67,2010,2010-09-30,2011-09-29,D302,ADP SYSTEMS DEVELOPMENT SERVICES,835130485,INTERNATIONAL BUSINESS MACHINES CORPORATION,FULL AND OPEN COMPETITION,2012-03-29,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,541512,COMPUTER SYSTEMS DESIGN SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_GST1110BJ8013_4735_GS00Q09BGD0034_4735/,1,0
1,CONT_AWD_GS00P11CYP0026_4740_-NONE-_-NONE-,11962.1,2011,2011-01-02,2012-01-01,D308,PROGRAMMING SERVICES,835130485,INTERNATIONAL BUSINESS MACHINES CORPORATION,NOT COMPETED,2012-01-01,ONLY ONE SOURCE,541519,OTHER COMPUTER RELATED SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_GS00P11CYP0026_4740_-NONE-_-NONE-/,1,0
2,CONT_AWD_GS00I10AAC0046_4705_-NONE-_-NONE-,30630881.27,2010,2010-02-03,2010-02-15,D302,ADP SYSTEMS DEVELOPMENT SERVICES,835130485,INTERNATIONAL BUSINESS MACHINES CORPORATION,FULL AND OPEN COMPETITION,2018-02-14,NEGOTIATED PROPOSAL/QUOTE,541519,OTHER COMPUTER RELATED SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_GS00I10AAC0046_4705_-NONE-_-NONE-/,3,0
3,CONT_AWD_GS001311NRC0015_4745_-NONE-_-NONE-,6025.0,2011,2011-09-06,2012-08-31,7030,ADP SOFTWARE,835130485,INTERNATIONAL BUSINESS MACHINES CORPORATION,NOT COMPETED,2012-08-31,ONLY ONE SOURCE,541519,OTHER COMPUTER RELATED SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_GS001311NRC0015_4745_-NONE-_-NONE-/,1,0
4,CONT_AWD_GST1112BJ0017_4732_GS00Q09BGD0034_4735,899848.93,2012,2012-03-31,2012-06-30,D302,IT AND TELECOM- SYSTEMS DEVELOPMENT,835130485,INTERNATIONAL BUSINESS MACHINES CORPORATION,FULL AND OPEN COMPETITION,2012-07-31,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,541512,COMPUTER SYSTEMS DESIGN SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_GST1112BJ0017_4732_GS00Q09BGD0034_4735/,1,0
5,CONT_AWD_GS00J130004_4704_-NONE-_-NONE-,4180.0,2013,2012-10-01,2013-09-30,7035,ADP SUPPORT EQUIPMENT,835130485,INTERNATIONAL BUSINESS MACHINES CORPORATION,NOT COMPETED,2013-09-30,ONLY ONE SOURCE,541519,OTHER COMPUTER RELATED SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_GS00J130004_4704_-NONE-_-NONE-/,1,0
6,CONT_AWD_GST1112BJ0025_4732_GS00Q09BGD0034_4735,11057692.3,2012,2012-05-14,2014-05-13,AJ45,R&D- GENERAL SCIENCE/TECHNOLOGY: ENGINEERING (OPERATIONAL SYSTEMS DEVELOPMENT),835130485,INTERNATIONAL BUSINESS MACHINES CORPORATION,FULL AND OPEN COMPETITION,2014-05-13,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,541512,COMPUTER SYSTEMS DESIGN SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_GST1112BJ0025_4732_GS00Q09BGD0034_4735/,6,0
7,CONT_AWD_GS00J13ADP0040_4704_-NONE-_-NONE-,4807.0,2013,2013-10-01,2014-09-30,7030,ADP SOFTWARE,835130485,INTERNATIONAL BUSINESS MACHINES CORPORATION,NOT COMPETED UNDER SAP,2014-09-30,SIMPLIFIED ACQUISITION,541512,COMPUTER SYSTEMS DESIGN SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_GS00J13ADP0040_4704_-NONE-_-NONE-/,1,0
8,CONT_AWD_GST0413DB0050_4732_GS00Q09BGD0034_4735,2898550.72,2013,2013-05-28,2014-05-27,D316,IT AND TELECOM- TELECOMMUNICATIONS NETWORK MANAGEMENT,835130485,INTERNATIONAL BUSINESS MACHINES CORPORATION,FULL AND OPEN COMPETITION,2018-05-27,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,541512,COMPUTER SYSTEMS DESIGN SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_GST0413DB0050_4732_GS00Q09BGD0034_4735/,8,0
9,CONT_AWD_GS00Q14AJC0009_4732_-NONE-_-NONE-,13532901.62,2014,2014-08-12,2015-08-14,D302,IT AND TELECOM- SYSTEMS DEVELOPMENT,835130485,INTERNATIONAL BUSINESS MACHINES CORPORATION,FULL AND OPEN COMPETITION,2016-08-14,NEGOTIATED PROPOSAL/QUOTE,541519,OTHER COMPUTER RELATED SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_GS00Q14AJC0009_4732_-NONE-_-NONE-/,3,0
