,action_date_fiscal_year,base_and_exercised_options_value,federal_action_obligation,base_and_all_options_value,action_date,recipient_duns,recipient_name
0,2009,144258.0,144258.0,144258.0,2009-03-12,077421261,LADORN SYSTEMS CORPORATION
1,2009,754.0,754.0,754.0,2008-10-03,148265713,PETRA INDUSTRIES INCORPORATED
2,2009,224820.0,224820.0,299880.0,2008-12-30,094648933,IBFX CONSULTING INCORPORATED
3,2009,2262.0,2262.0,2262.0,2008-10-08,148265713,PETRA INDUSTRIES INCORPORATED
4,2009,200.64,200.64,200.64,2008-10-13,131623634,IMERNET LIMITED LIABILITY PARTNERSHIP
5,2009,1510.0,1510.0,1510.0,2008-10-20,148265713,PETRA INDUSTRIES INCORPORATED
6,2009,1131.0,1131.0,1131.0,2008-11-06,148265713,PETRA INDUSTRIES INCORPORATED
7,2009,297892.26,297892.26,354000.4,2008-10-29,113512359,DIGITAL MANAGEMENT INC
8,2009,754.0,754.0,754.0,2008-11-24,148265713,PETRA INDUSTRIES INCORPORATED
9,2009,265.0,265.0,265.0,2008-11-24,148265713,PETRA INDUSTRIES INCORPORATED
10,2009,377.5,377.5,377.5,2008-12-19,148265713,PETRA INDUSTRIES INCORPORATED
11,2009,101444.04,101444.04,101444.04,2008-11-06,178699799,COMMERCIAL DATA SYSTEMS INC
12,2009,32357.99,32357.99,32357.99,2008-10-01,966833766,"SWORD & SHIELD ENTERPRISE SECURITY, INC."
13,2009,1660.0,1660.0,1660.0,2008-10-07,148265713,PETRA INDUSTRIES INCORPORATED
14,2009,68667.0,68667.0,68667.0,2008-11-19,196407436,CONQUEST SECURITY
15,2009,141553.2,141553.2,141553.2,2008-12-28,088365767,CARAHSOFT TECHNOLOGY CORPORATION
16,2009,57859.2,57859.2,57859.2,2008-10-08,111468554,OPTIMUM SOLUTIONS (1594)
17,2009,498229.45,498229.45,498229.45,2008-12-01,614948396,WORLD WIDE TECHNOLOGY INCORPORATED
18,2009,377.0,377.0,377.0,2008-10-17,148265713,PETRA INDUSTRIES INCORPORATED
19,2009,653569.67,653569.67,653569.67,2008-10-29,107939357,GTSI CORPORATION
20,2009,3020.0,3020.0,3020.0,2008-12-18,148265713,PETRA INDUSTRIES INCORPORATED
21,2009,3020.0,3020.0,3020.0,2008-12-22,148265713,PETRA INDUSTRIES INCORPORATED
22,2009,332.0,332.0,332.0,2008-10-27,148265713,PETRA INDUSTRIES INCORPORATED
23,2009,1508.0,1508.0,1508.0,2008-10-02,148265713,PETRA INDUSTRIES INCORPORATED
24,2009,500.0,500.0,500.0,2008-11-28,155143050,"FOX RIVER GRAPHICS, INC"
25,2009,265.0,265.0,265.0,2008-11-18,148265713,PETRA INDUSTRIES INCORPORATED
26,2009,912156.76,912156.76,912156.76,2008-11-26,026157235,CDW GOVERNMENT INCORPORATED
27,2009,1885.0,1885.0,1885.0,2008-11-25,148265713,PETRA INDUSTRIES INCORPORATED
28,2009,754.0,754.0,754.0,2008-10-17,148265713,PETRA INDUSTRIES INCORPORATED
29,2009,377.5,377.5,377.5,2008-12-04,148265713,PETRA INDUSTRIES INCORPORATED
30,2009,23495.1,23495.1,23495.1,2008-10-30,118574347,3T INTERNATIONAL INCORPORATED
31,2009,1885.0,1885.0,1885.0,2008-12-22,148265713,PETRA INDUSTRIES INCORPORATED
32,2009,18778.35,18778.35,18778.35,2008-12-26,786468199,"DLT SOLUTIONS, INC."
33,2009,55859.21,55859.21,55859.21,2008-11-07,786643502,COMBYTE U S A
34,2009,2262.0,2262.0,2262.0,2008-10-02,148265713,PETRA INDUSTRIES INCORPORATED
35,2009,755.0,755.0,755.0,2008-11-04,148265713,PETRA INDUSTRIES INCORPORATED
36,2009,2088.76,2088.76,2088.76,2008-12-17,116207978,"APPTIS, INC."
37,2009,1010042.0,1010042.0,1623768.64,2008-12-08,036280324,DATAFLOW/ALASKA INCORPORATED
38,2009,232410.28,232410.28,232410.28,2008-12-30,098692374,IMMIXTECHNOLOGY INC
39,2009,255.36,255.36,255.36,2008-11-28,131623634,IMERNET LIMITED LIABILITY PARTNERSHIP
40,2009,104347.0,104347.0,104347.0,2008-10-20,141089040,TKC INTEGRATION SERVICES LIMITED LIABILITY COMPANY
41,2009,2650.0,2650.0,2650.0,2008-11-17,148265713,PETRA INDUSTRIES INCORPORATED
42,2009,15520.0,15520.0,15520.0,2008-11-04,602072381,PROVISTA SOFTWARE INTL INCORPORATED
43,2009,1540206.0,1540206.0,1540206.0,2008-12-22,605652288,"SAVI TECHNOLOGY, INC."
44,2009,7550.0,7550.0,7550.0,2008-12-04,148265713,PETRA INDUSTRIES INCORPORATED
45,2009,2120.0,2120.0,2120.0,2008-10-20,148265713,PETRA INDUSTRIES INCORPORATED
46,2009,133912.0,133912.0,716770.77,2008-12-19,077973480,"DATA MANAGEMENT GROUP OF VIRGINIA, INC"
47,2009,7550.0,7550.0,7550.0,2008-12-09,148265713,PETRA INDUSTRIES INCORPORATED
48,2009,0.0,0.0,0.0,2008-11-14,153882964,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
49,2009,3361.28,3361.28,3361.28,2008-10-31,786468199,"DLT SOLUTIONS, INC."
50,2009,754.0,754.0,754.0,2008-12-22,148265713,PETRA INDUSTRIES INCORPORATED
51,2009,795.0,795.0,795.0,2008-10-31,148265713,PETRA INDUSTRIES INCORPORATED
52,2009,130721.45,130721.45,130721.45,2008-11-07,098692374,IMMIXTECHNOLOGY INC
53,2009,16275.0,16275.0,16275.0,2008-10-23,039120170,COMFIDEX CORPORATION
54,2009,95500.63,95500.63,95500.63,2008-10-30,098692374,IMMIXTECHNOLOGY INCORPORATED
55,2009,377.5,377.5,377.5,2008-10-09,148265713,PETRA INDUSTRIES INCORPORATED
56,2009,1131.0,1131.0,1131.0,2008-12-18,148265713,PETRA INDUSTRIES INCORPORATED
57,2009,140000.0,140000.0,140000.0,2008-10-16,039274332,"AMERICOM GOVERNMENT SERVICES,"
58,2009,389.27,389.27,389.27,2008-10-07,155143050,"FOX RIVER GRAPHICS, INC"
59,2009,754.0,754.0,754.0,2008-11-07,148265713,PETRA INDUSTRIES INCORPORATED
60,2009,110767.0,110767.0,110767.0,2008-11-12,794585190,JAMES COMMUNICATION INCORPORATED
61,2009,192423.42,192423.42,192423.42,2008-12-24,843573713,CORE TECHNOLOGIES INCORPORATED
62,2009,107241.28,107241.28,107241.28,2008-11-04,027157127,TELECOMMUNICATION SOLUTIONS GROUP INCORPORATED
63,2009,699609.28,699609.28,2169449.28,2008-12-10,965091606,SMARTRONIX
64,2009,3975.0,3975.0,3975.0,2008-10-29,148265713,PETRA INDUSTRIES INCORPORATED
65,2009,1885.0,1885.0,1885.0,2008-10-02,148265713,PETRA INDUSTRIES INCORPORATED
66,2009,30438.1,30438.1,30438.1,2008-11-04,843573713,CORE TECHNOLOGIES INCORPORATED
67,2009,5846.35,5846.35,18430.6,2008-12-31,088365767,CARAHSOFT TECHNOLOGY CORPORATION
68,2009,349898.48,349898.48,349898.48,2008-10-10,098692374,IMMIXTECHNOLOGY INC
69,2009,4147.0,4147.0,4147.0,2008-10-22,148265713,PETRA INDUSTRIES INCORPORATED
70,2009,377.0,377.0,377.0,2008-12-19,148265713,PETRA INDUSTRIES INCORPORATED
71,2009,754.0,754.0,754.0,2008-12-29,148265713,PETRA INDUSTRIES INCORPORATED
72,2009,530.0,530.0,530.0,2008-11-19,148265713,PETRA INDUSTRIES INCORPORATED
73,2009,2120.0,2120.0,2120.0,2008-12-22,148265713,PETRA INDUSTRIES INCORPORATED
74,2009,1132.5,1132.5,1132.5,2008-11-24,148265713,PETRA INDUSTRIES INCORPORATED
75,2009,1508.0,1508.0,1508.0,2008-10-02,148265713,PETRA INDUSTRIES INCORPORATED
76,2009,265.0,265.0,265.0,2008-12-16,148265713,PETRA INDUSTRIES INCORPORATED
77,2009,9959.4,9959.4,9959.4,2008-10-14,121701957,BLUE TECH INCORPORATED
78,2009,377.0,377.0,377.0,2008-12-02,148265713,PETRA INDUSTRIES INCORPORATED
79,2009,1590.0,1590.0,1590.0,2008-12-18,148265713,PETRA INDUSTRIES INCORPORATED
80,2009,263375.6,263375.6,263375.6,2008-11-06,136667768,GWA DATATRAC FAST LIMITED LIABILITY COMPANY
81,2009,377.0,377.0,377.0,2008-11-14,148265713,PETRA INDUSTRIES INCORPORATED
82,2009,332.0,332.0,332.0,2008-10-03,148265713,PETRA INDUSTRIES INCORPORATED
83,2009,377.0,377.0,377.0,2008-11-10,148265713,PETRA INDUSTRIES INCORPORATED
84,2009,1132.5,1132.5,1132.5,2008-12-22,148265713,PETRA INDUSTRIES INCORPORATED
85,2009,265.0,265.0,265.0,2008-12-09,148265713,PETRA INDUSTRIES INCORPORATED
86,2009,1131.0,1131.0,1131.0,2008-12-31,148265713,PETRA INDUSTRIES INCORPORATED
87,2009,163508.3,163508.3,0.0,2008-10-17,150780674,UNISYS CORPORATION
88,2009,2650.0,2650.0,2650.0,2008-11-18,148265713,PETRA INDUSTRIES INCORPORATED
89,2009,377.5,377.5,377.5,2008-11-17,148265713,PETRA INDUSTRIES INCORPORATED
90,2009,17914.85,17914.85,17914.85,2008-11-04,966833766,"SWORD & SHIELD ENTERPRISE SECURITY, INC."
91,2009,106158.78,106158.78,106158.78,2008-11-05,073103645,INFINITEL LIMITED LIABILITY COMPANY
92,2009,43304.73,43304.73,43304.73,2008-11-07,098692374,"IMMIXTECHNOLOGY, INC."
93,2009,377.0,377.0,377.0,2008-12-22,148265713,PETRA INDUSTRIES INCORPORATED
94,2009,499893.23,499893.23,499893.23,2008-12-29,883778896,COMPUTER SCIENCES CORPORATION
95,2009,3397.5,3397.5,3397.5,2008-12-19,148265713,PETRA INDUSTRIES INCORPORATED
96,2009,33877.31,33877.31,33877.31,2008-12-11,118810592,ADVENTIUM LIMITED LIABILITY COMPANY
97,2009,32667.01,32667.01,32667.01,2008-12-12,144293636,"COUNTERTRADE PRODUCTS, INC."
98,2009,165722.25,165722.25,165722.25,2008-10-28,784232618,"MCLAREN SOFTWARE, INC."
99,2009,24890.92,24890.92,24890.92,2008-10-21,786643502,COMBYTE U S A
100,2009,265.0,265.0,265.0,2008-12-17,148265713,PETRA INDUSTRIES INCORPORATED
101,2009,377.0,377.0,377.0,2008-12-24,148265713,PETRA INDUSTRIES INCORPORATED
102,2009,2265.0,2265.0,2265.0,2008-11-24,148265713,PETRA INDUSTRIES INCORPORATED
103,2009,1964.04,1964.04,1964.04,2008-11-04,131623634,IMERNET LIMITED LIABILITY PARTNERSHIP
104,2009,612211.0,44653.63,612211.0,2008-10-31,139627525,MANTECH ADVANCED SYSTEMS INTERNATIONAL INCORPORATED
105,2009,1132.5,1132.5,1132.5,2008-11-28,148265713,PETRA INDUSTRIES INCORPORATED
106,2009,755.0,755.0,755.0,2008-10-31,148265713,PETRA INDUSTRIES INCORPORATED
107,2009,1887.5,1887.5,1887.5,2008-11-21,148265713,PETRA INDUSTRIES INCORPORATED
108,2009,23460.0,23460.0,23460.0,2008-12-02,145969783,CGI FEDERAL INCORPORATED
109,2009,754.0,754.0,754.0,2008-10-13,148265713,PETRA INDUSTRIES INCORPORATED
110,2009,265584.0,265584.0,265584.0,2008-11-20,614948396,WORLD WIDE TECHNOLOGY INCORPORATED
111,2009,2799.66,2799.66,2799.66,2008-11-14,786468199,"DLT SOLUTIONS, INC."
112,2009,20673.66,20673.66,20673.66,2008-10-28,098692374,IMMIXTECHNOLOGY INC
113,2009,530.0,530.0,530.0,2008-12-19,148265713,PETRA INDUSTRIES INCORPORATED
114,2009,1510.0,1510.0,1510.0,2008-10-07,148265713,PETRA INDUSTRIES INCORPORATED
115,2009,447826.8,447826.8,447826.8,2008-11-24,780414652,STG INC
116,2009,300000.0,300000.0,300000.0,2008-12-05,145789710,SBI TECHNOLOGIES CORPORATION
117,2009,265.0,265.0,265.0,2008-11-26,148265713,PETRA INDUSTRIES INCORPORATED
118,2009,37750.0,37750.0,37750.0,2008-12-18,148265713,PETRA INDUSTRIES INCORPORATED
119,2009,377.5,377.5,377.5,2008-10-10,148265713,PETRA INDUSTRIES INCORPORATED
120,2009,1705.5,1705.5,1705.5,2008-10-20,148265713,PETRA INDUSTRIES INCORPORATED
121,2009,4152.5,4152.5,4152.5,2008-12-24,148265713,PETRA INDUSTRIES INCORPORATED
122,2009,754.0,754.0,754.0,2008-11-07,148265713,PETRA INDUSTRIES INCORPORATED
123,2009,530.0,530.0,530.0,2008-12-04,148265713,PETRA INDUSTRIES INCORPORATED
124,2009,377.0,377.0,377.0,2008-10-02,148265713,PETRA INDUSTRIES INCORPORATED
125,2009,1508.0,1508.0,1508.0,2008-12-22,148265713,PETRA INDUSTRIES INCORPORATED
126,2009,1885.0,1885.0,1885.0,2008-11-19,148265713,PETRA INDUSTRIES INCORPORATED
127,2009,19047.62,19047.62,19047.62,2008-12-17,053510694,COMPASS SYSTEMS CONSULTING INCORPORATED
