,contract_award_unique_key,base_and_exercised_options_value,action_date_fiscal_year,period_of_performance_start_date,period_of_performance_current_end_date,product_or_service_code,product_or_service_code_description,recipient_duns,recipient_name,extent_competed,period_of_performance_potential_end_date,solicitation_procedures,naics_code,naics_description,usaspending_permalink,number_of_offers_received,rank
0,CONT_AWD_HHSM500201500246C_7530_-NONE-_-NONE-,25000000.0,2015,2014-12-23,2016-01-10,7010,ADPE SYSTEM CONFIGURATION,139727148,ACCENTURE FEDERAL SERVICES LLC,FULL AND OPEN COMPETITION,2020-07-10,NEGOTIATED PROPOSAL/QUOTE,541512,COMPUTER SYSTEMS DESIGN SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_HHSM500201500246C_7530_-NONE-_-NONE-/,1,0
0,CONT_AWD_HHSM500201500252C_7530_-NONE-_-NONE-,30337188.0,2015,2015-03-16,2016-03-15,D307,IT AND TELECOM- IT STRATEGY AND ARCHITECTURE,137256181,VENTECH SOLUTIONS INC.,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,2025-03-15,NEGOTIATED PROPOSAL/QUOTE,541512,COMPUTER SYSTEMS DESIGN SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_HHSM500201500252C_7530_-NONE-_-NONE-/,6,1
0,CONT_AWD_HHSM500T0001_7530_HHSM500200600023I_7530,22990591.0,2009,2009-04-01,2010-03-31,R499,OTHER PROFESSIONAL SERVICES,807899653,"NATIONAL GOVERNMENT SERVICES, INC.",NON-COMPETITIVE DELIVERY ORDER,2012-03-31,NEGOTIATED PROPOSAL/QUOTE,541512,COMPUTER SYSTEMS DESIGN SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_HHSM500T0001_7530_HHSM500200600023I_7530/,1,2
1,CONT_AWD_HHSM500201000028C_7530_-NONE-_-NONE-,2256206.0,2010,2010-08-10,2012-08-09,D302,ADP SYSTEMS DEVELOPMENT SERVICES,807899653,"NATIONAL GOVERNMENT SERVICES, INC.",FULL AND OPEN COMPETITION,2015-08-09,NEGOTIATED PROPOSAL/QUOTE,541511,CUSTOM COMPUTER PROGRAMMING SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_HHSM500201000028C_7530_-NONE-_-NONE-/,2,2
2,CONT_AWD_HHSM500201300094C_7530_-NONE-_-NONE-,4339863.0,2013,2012-12-14,2013-12-13,D311,IT AND TELECOM- DATA CONVERSION,807899653,"NATIONAL GOVERNMENT SERVICES, INC.",FULL AND OPEN COMPETITION,2017-12-13,NEGOTIATED PROPOSAL/QUOTE,541511,CUSTOM COMPUTER PROGRAMMING SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_HHSM500201300094C_7530_-NONE-_-NONE-/,1,2
3,CONT_AWD_HHSM500201700002C_7530_-NONE-_-NONE-,225261.0,2017,2017-02-01,2017-03-31,D318,"IT AND TELECOM- INTEGRATED HARDWARE/SOFTWARE/SERVICES SOLUTIONS, PREDOMINANTLY SERVICES",807899653,"NATIONAL GOVERNMENT SERVICES, INC.",FULL AND OPEN COMPETITION,2026-03-31,NEGOTIATED PROPOSAL/QUOTE,541512,COMPUTER SYSTEMS DESIGN SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_HHSM500201700002C_7530_-NONE-_-NONE-/,1,2
0,CONT_AWD_HHSH25034008T_7526_HHSH250201200005I_7526,578737.69,2012,2012-09-28,2013-09-27,D302,IT AND TELECOM- SYSTEMS DEVELOPMENT,608999520,"REI SYSTEMS, INC.",FULL AND OPEN COMPETITION,2013-09-27,NEGOTIATED PROPOSAL/QUOTE,541519,OTHER COMPUTER RELATED SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_HHSH25034008T_7526_HHSH250201200005I_7526/,2.0,3
1,CONT_AWD_HHSH25034003T_7526_HHSH250201200005I_7526,150101.79,2012,2012-09-27,2013-09-27,D302,IT AND TELECOM- SYSTEMS DEVELOPMENT,608999520,"REI SYSTEMS, INC.",FULL AND OPEN COMPETITION,2013-09-27,NEGOTIATED PROPOSAL/QUOTE,541519,OTHER COMPUTER RELATED SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_HHSH25034003T_7526_HHSH250201200005I_7526/,2.0,3
2,CONT_AWD_HHSH25034002T_7526_HHSH250201200005I_7526,8872804.05,2012,2012-09-27,2013-09-16,D302,IT AND TELECOM- SYSTEMS DEVELOPMENT,608999520,"REI SYSTEMS, INC.",FULL AND OPEN COMPETITION,2013-09-16,NEGOTIATED PROPOSAL/QUOTE,541519,OTHER COMPUTER RELATED SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_HHSH25034002T_7526_HHSH250201200005I_7526/,2.0,3
3,CONT_AWD_HHSH25034012T_7526_HHSH250201200005I_7526,562704.02,2012,2012-09-28,2013-09-27,D302,IT AND TELECOM- SYSTEMS DEVELOPMENT,608999520,"REI SYSTEMS, INC.",FULL AND OPEN COMPETITION,2013-09-27,NEGOTIATED PROPOSAL/QUOTE,541519,OTHER COMPUTER RELATED SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_HHSH25034012T_7526_HHSH250201200005I_7526/,2.0,3
4,CONT_AWD_HHSH25034005T_7526_HHSH250201200005I_7526,425000.0,2012,2012-09-28,2013-09-27,D302,IT AND TELECOM- SYSTEMS DEVELOPMENT,608999520,"REI SYSTEMS, INC.",FULL AND OPEN COMPETITION,2013-09-27,NEGOTIATED PROPOSAL/QUOTE,541519,OTHER COMPUTER RELATED SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_HHSH25034005T_7526_HHSH250201200005I_7526/,2.0,3
5,CONT_AWD_HHSH25034006T_7526_HHSH250201200005I_7526,1599492.0,2012,2012-09-28,2013-09-27,D302,IT AND TELECOM- SYSTEMS DEVELOPMENT,608999520,"REI SYSTEMS, INC.",FULL AND OPEN COMPETITION,2013-09-27,NEGOTIATED PROPOSAL/QUOTE,541519,OTHER COMPUTER RELATED SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_HHSH25034006T_7526_HHSH250201200005I_7526/,2.0,3
6,CONT_AWD_HHSH25034009T_7526_HHSH250201200005I_7526,554178.71,2012,2012-09-28,2013-09-27,D302,IT AND TELECOM- SYSTEMS DEVELOPMENT,608999520,"REI SYSTEMS, INC.",FULL AND OPEN COMPETITION,2013-09-27,NEGOTIATED PROPOSAL/QUOTE,541519,OTHER COMPUTER RELATED SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_HHSH25034009T_7526_HHSH250201200005I_7526/,2.0,3
7,CONT_AWD_HHSH25034010T_7526_HHSH250201200005I_7526,12668000.03,2012,2012-09-28,2013-09-27,D301,IT AND TELECOM- FACILITY OPERATION AND MAINTENANCE,608999520,"REI SYSTEMS, INC.",FULL AND OPEN COMPETITION,2013-09-27,NEGOTIATED PROPOSAL/QUOTE,541519,OTHER COMPUTER RELATED SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_HHSH25034010T_7526_HHSH250201200005I_7526/,2.0,3
8,CONT_AWD_HHSH25034011T_7526_HHSH250201200005I_7526,1199595.6,2012,2012-09-28,2013-09-27,D302,IT AND TELECOM- SYSTEMS DEVELOPMENT,608999520,"REI SYSTEMS, INC.",FULL AND OPEN COMPETITION,2013-09-27,NEGOTIATED PROPOSAL/QUOTE,541519,OTHER COMPUTER RELATED SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_HHSH25034011T_7526_HHSH250201200005I_7526/,2.0,3
9,CONT_AWD_HHSH25034007T_7526_HHSH250201200005I_7526,1180789.27,2012,2012-09-28,2013-09-27,D302,IT AND TELECOM- SYSTEMS DEVELOPMENT,608999520,"REI SYSTEMS, INC.",FULL AND OPEN COMPETITION,2013-09-27,NEGOTIATED PROPOSAL/QUOTE,541519,OTHER COMPUTER RELATED SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_HHSH25034007T_7526_HHSH250201200005I_7526/,2.0,3
10,CONT_AWD_HHSH25034022T_7526_HHSH250201200005I_7526,121625.38,2013,2013-09-27,2014-09-29,D308,IT AND TELECOM- PROGRAMMING,608999520,"REI SYSTEMS, INC.",FULL AND OPEN COMPETITION,2014-09-29,NEGOTIATED PROPOSAL/QUOTE,541519,OTHER COMPUTER RELATED SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_HHSH25034022T_7526_HHSH250201200005I_7526/,2.0,3
