,action_date_fiscal_year,base_and_exercised_options_value,federal_action_obligation,base_and_all_options_value,action_date,recipient_duns,recipient_name
0,2009,17021.92,17021.92,17021.92,2009-06-30,604596346,"CITRIX SYSTEMS, INC."
1,2009,2819562.0,2819562.0,45190524.0,2009-09-30,081707700,"EDAPTIVE SYSTEMS, LLC"
2,2009,619824.0,619824.0,3314528.0,2009-07-28,177159456,CDM GROUP INCORPORATED THE
3,2009,130711.63,130711.63,130711.63,2009-09-14,096027870,ACCELERA SOLUTIONS INCORPORATED
4,2009,4048.5,4048.5,4048.5,2009-02-13,963177209,MUMPS AUDIOFAX INC
5,2009,411359.0,411359.0,411359.0,2009-09-18,877199513,AC TECHNOLOGIES INC
6,2009,5479.75,5479.75,5479.75,2009-09-08,088365767,CARAHSOFT TECHNOLOGY CORPORATION
7,2009,35675.1,35675.1,35675.1,2009-03-28,003548489,AT&T MOBILITY LLC
8,2009,8929.8,8929.8,8929.8,2009-09-28,933539751,"MORRIS SYSTEMS, INC."
9,2009,25000.0,25000.0,25000.0,2009-09-30,180686792,"VERSUS TECHNOLOGY, INC."
10,2009,29984.57,29984.57,29984.57,2009-06-05,125364740,"BUCCANEER COMPUTER SYSTEMS & SERVICE, INC."
11,2009,5130.24,5130.24,5130.24,2009-06-09,786468199,"DLT SOLUTIONS, INC."
12,2009,16310.0,16310.0,16310.0,2009-09-21,145954637,"EPM SOLUTIONS, L.L.C."
13,2009,98778.6,98778.6,0.0,2009-06-01,793497231,KBM GROUP INC
14,2009,25000.0,25000.0,25000.0,2009-07-21,807521521,"DEVELOPMENT INFOSTRUCTURE, INC."
15,2009,14974.54,14974.54,14974.54,2009-01-15,147939008,5 AM SOLUTIONS
16,2009,498600.0,498600.0,0.0,2009-08-25,017881157,"ALTUM, INCORPORATED"
17,2009,53341.0,53341.0,53341.0,2009-09-29,933678708,"RED RIVER COMPUTER CO., INC."
18,2009,150000.0,150000.0,0.0,2009-09-21,798929464,LCG SYSTEMS LLC
19,2009,86042.14,86042.14,86042.14,2009-09-30,809678782,GOVCONNECTION INCORPORATED
20,2009,47500.87,47500.87,0.0,2009-02-18,023371300,PLANNING PROFESSIONALS LIMITED
21,2009,99035.04,99035.04,99035.04,2009-08-25,116899969,"EUMOTIF, INC."
22,2009,100171.0,100171.0,0.0,2009-08-21,023371300,PLANNING PROFESSIONALS LIMITED
23,2009,6149.1,6149.1,6149.1,2009-08-12,622341485,UNITEK COMPUTER STORES INC.
24,2009,19420.52,19420.52,19420.52,2009-07-09,098692374,IMMIXTECHNOLOGY INC
25,2009,490515.28,490515.28,490515.28,2009-09-28,169802456,"THE ESP GROUP, LLC"
26,2009,29498.0,29498.0,29498.0,2009-09-12,831635367,"NORMA, CATHERINE H"
27,2009,9189.0,9189.0,9189.0,2009-01-23,102766370,INFINEDI LLC
28,2009,215000.0,215000.0,215000.0,2009-06-03,174243907,DIGICON CORPORATION
29,2009,25000.0,25000.0,25000.0,2009-07-29,786283130,DATA FEDERAL CORPORATION
30,2009,34411.67,34411.67,34411.67,2009-07-13,604596346,CITRIX SYSTEMS INC
31,2009,9239.7,9239.7,9239.7,2009-05-28,098692374,IMMIXTECHNOLOGY INC
32,2009,23000.0,23000.0,23000.0,2009-01-08,131311409,SOFT COMPUTER CONSULTANTS INC.
33,2009,9894.0,9894.0,0.0,2009-07-06,809678782,GOVCONNECTION INCORPORATED
34,2009,9000.0,9000.0,9000.0,2009-01-22,941315517,ARGUS ELECTRONIC SYSTEMS INC
35,2009,12500.0,12500.0,0.0,2009-08-24,037201378,DISCOVERY LOGIC INC
36,2009,29897.0,29897.0,29897.0,2009-09-28,037814956,"MANILA CONSULTING GROUP, INC."
37,2009,3539722.13,3539722.13,3539722.13,2009-05-29,054781240,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
38,2009,3762.0,3762.0,3762.0,2009-01-22,933539751,"MORRIS SYSTEMS, INC."
39,2009,1125722.0,1125722.0,1125722.0,2009-05-21,053634593,NORTHROP GRUMMAN SPACE & MISSION SYSTEMS CORP.
40,2009,49500.0,49500.0,49500.0,2009-09-11,090287132,PROGENY SOFTWARE LLC
41,2009,47368.42,47368.42,47368.42,2008-11-18,604596346,CITRIX SYSTEMS INC
42,2009,123000.0,123000.0,123000.0,2009-07-22,097779698,SYSTEMS RESEARCH AND APPLICATI
43,2009,808682.94,808682.94,808682.94,2009-09-17,148965473,"CNI INFORMATION TECHNOLOGY, LLC"
44,2009,27300.0,27300.0,27300.0,2009-09-18,602742137,IT FEDERAL SALES LIMITED LIABILITY COMPANY
45,2009,99027.0,99027.0,99027.0,2009-08-10,069512291,NATIONAL OPINION RESEARCH CENTER (COLORADO)
46,2009,7394.59,7394.59,7394.59,2009-09-23,088365767,CARAHSOFT TECHNOLOGY CORPORATION
47,2009,12437.5,12437.5,12437.5,2009-09-17,144988131,SOPHIC SYSTEMS ALLIANCE INC.
48,2009,30024.5,30024.5,30024.5,2008-12-02,938492394,INFORMATION ENGINEERING SERVICES INCORPORATED
49,2009,9870.0,9870.0,9870.0,2009-07-24,131859618,"SUPPORT WIZARD, INC"
50,2009,242816.6,242816.6,242816.6,2009-06-09,086296030,"OMNITEC SOLUTIONS, INC"
51,2009,64643.41,64643.41,64643.41,2009-09-30,827714507,"APPTIS TECHNOLOGY SOLUTIONS, LLC"
52,2009,165.23,165.23,165.23,2009-08-25,785308797,K PAUL PROPERTIES LIMITED LIABILITY COMPANY
53,2009,100000.0,100000.0,20149893.0,2009-06-16,097779698,SYSTEMS RESEARCH AND APPLICATI
54,2009,51319.78,51319.78,51319.78,2009-06-30,149530219,DELL FEDERAL SYSTEMS L.P.
55,2009,11608.69,11608.69,11608.69,2008-10-01,946475001,EX LIBRIS (USA) INCORPORATED
56,2009,17427.0,17427.0,17427.0,2009-08-26,786468199,"DLT SOLUTIONS, INC."
57,2009,307716.63,307716.63,307716.63,2008-12-22,015615912,FEDSOLVE LLC
58,2009,1263.33,1263.33,1263.33,2008-12-03,968904698,CELLCO PARTNERSHIP DBA VERIZON WIRELESS
59,2009,6000.0,6000.0,6000.0,2009-09-30,088365767,CARAHSOFT TECHNOLOGY CORPORATION
60,2009,114245.48,114245.48,114245.48,2009-03-19,088365767,CARAHSOFT TECHNOLOGY CORPORATION
61,2009,3223.56,3223.56,3223.56,2008-12-23,786468199,"DLT SOLUTIONS, INC."
