,noofaward,total,recipient_duns,recipient_name
0,1,"$255,241,182.00",097779698,"SRA INTERNATIONAL, INC."
1,2,"$27,876,648.93",145969783,CGI FEDERAL INC.
2,9,"$7,602,872.45",066781865,KEANE FEDERAL SYSTEMS INC
3,1,"$6,927,643.31",611823738,"SAPIENT GOVERNMENT SERVICES, INC."
4,3,"$6,360,083.88",048382386,"FULCRUM IT SERVICES, LLC"
5,1,"$6,225,720.00",842311800,"RECOMMIND, INC."
6,3,"$2,196,094.30",125132048,"NATIONAL CAPITOL CONTRACTING, LLC"
7,1,"$1,759,748.00",861092591,ORCHID TECHNOLOGIES AND MANAGEMENT LC
8,1,"$1,393,400.00",017615464,"STROZ FRIEDBERG, LLC"
9,1,"$1,317,067.00",827731829,HARVARD BUSINESS SCHOOL PUBLISHING CORPORATION
10,1,"$1,274,193.00",969115112,ADVANCED SOFTWARE SYSTEMS INC
11,3,"$1,157,080.61",148095086,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
12,1,"$967,000.00",174708904,FINANCIAL TRACKING TECHNOLOGIES LLC
13,2,"$751,340.00",018431853,"FUJITSU AMERICA, INC."
14,2,"$638,833.40",008698862,GUIDENT TECHNOLOGIES INC
