,action_date_fiscal_year,base_and_exercised_options_value,federal_action_obligation,base_and_all_options_value,action_date,recipient_duns,recipient_name
0,2009,36429.0,36429.0,36429.0,2009-03-20,098692374,IMMIXTECHNOLOGY INC
1,2009,271183.0,271183.0,1317067.0,2009-09-21,827731829,HARVARD BUSINESS SCHOOL PUBLISHING CORPORATION
2,2009,122405.0,0.0,122405.0,2008-10-01,615378007,FCN
3,2009,400000.0,400000.0,0.0,2009-06-25,004625328,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
4,2009,33020.0,33020.0,33020.0,2009-09-29,138458786,VINITECH INC.
5,2009,0.0,0.0,0.0,2008-10-09,008698862,GUIDENT TECHNOLOGIES INC
6,2009,294864.0,294864.0,404230.0,2008-11-18,097779698,SYSTEMS RESEARCH AND APPLICATI
7,2009,150000.0,150000.0,0.0,2008-10-22,004625328,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
8,2009,161058.4,161058.4,161058.4,2009-09-15,098692374,IMMIXTECHNOLOGY INCORPORATED
9,2009,204692.0,204692.0,237492.0,2009-09-22,072296507,LEE INTEGRATED SYSTEMS TECHNOL
10,2009,189238.46,189238.46,189238.46,2009-09-21,078570335,INTEGRATED SYSTEMS
11,2009,12430.0,12430.0,12430.0,2009-01-15,003913480,"GRAYBAR ELECTRIC COMPANY, INC"
12,2009,941659.38,500000.0,941659.38,2009-09-21,078570335,INTEGRATED SYSTEMS
13,2009,17340.0,17340.0,17340.0,2008-12-30,100942965,"SOLUTIONS BY DESIGN II, LLC"
14,2009,99632.41,99632.41,99632.41,2009-09-20,008698862,GUIDENT TECHNOLOGIES INC
15,2009,258915.21,258915.21,258915.21,2009-04-16,026157235,CDW GOVERNMENT INCORPORATED
16,2009,2721025.8,960000.0,5523674.35,2009-08-05,148095086,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
17,2009,265668.68,210780.0,265668.68,2009-09-10,148095086,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
18,2009,99754.72,99754.72,99754.72,2009-03-26,964898712,DELTA SOLUTIONS AND TECHNOLOGIES INCORPORATED
19,2009,60931.74,60931.74,60931.74,2009-04-16,004625328,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
20,2009,122650.51,122650.51,122650.51,2009-09-20,786468199,"DLT SOLUTIONS, INC."
21,2009,3965.68,3965.68,3965.68,2009-09-18,786468199,"DLT SOLUTIONS, INC."
22,2009,59613.0,59613.0,59613.0,2009-01-12,361150469,"AINS, INC"
23,2009,34502.61,34502.61,34502.61,2009-02-13,614012354,ZETTA GLOBAL LLC
24,2009,150000.0,150000.0,150000.0,2009-08-04,789629867,"C5I FEDERAL, INC"
25,2009,1759748.0,397002.4,1759748.0,2009-06-23,861092591,ORCHID TECHNOLOGIES AND MANAGEMENT LC
26,2009,13000.0,13000.0,13000.0,2009-09-04,154145283,ICESOFT TECHNOLOGIES INC
27,2009,27760.0,27760.0,27760.0,2009-08-27,097220180,"GARTNER, INC."
28,2009,485654.24,485654.24,485654.24,2009-07-23,614948396,WORLD WIDE TECHNOLOGY INCORPORATED
29,2009,0.0,0.0,0.0,2008-10-21,019351253,"STROHL SYSTEMS GROUP, INC"
30,2009,25999.76,25999.76,25999.76,2008-10-29,098692374,IMMIXTECHNOLOGY INC
31,2009,17059.03,17059.03,17059.03,2009-03-06,005536698,"ORACLE USA, INC."
32,2009,586386.2,586386.2,586386.2,2009-02-20,964898712,DELTA SOLUTIONS AND TECHNOLOGIES INCORPORATED
33,2009,1485823.1,1485823.1,0.0,2008-10-01,004625328,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
34,2009,23640.0,23640.0,23640.0,2009-09-15,805595480,DIGITAL CELERITY LLC
35,2009,233026.0,233026.0,233026.0,2009-09-18,008698862,GUIDENT TECHNOLOGIES INC
36,2009,49540.42,49540.42,49540.42,2009-06-04,098692374,IMMIXTECHNOLOGY INC
37,2009,4808.48,4808.48,4808.48,2009-09-29,847939469,"SMS DATA PRODUCTS GROUP, INC."
38,2009,768956.68,768956.68,768956.68,2009-08-04,066781865,KEANE FEDERAL SYSTEMS INC
39,2009,78538.0,78538.0,78538.0,2009-09-18,786468199,"DLT SOLUTIONS, INC."
40,2009,405807.4,144255.82,405807.4,2009-09-20,008698862,GUIDENT TECHNOLOGIES INC
41,2009,28589.27,28589.27,28589.27,2009-08-18,098692374,IMMIXTECHNOLOGY INC
42,2009,0.0,0.0,0.0,2009-09-30,003548489,AT&T MOBILITY LLC
43,2009,59613.0,59613.0,59613.0,2009-09-29,361150469,"AINS, INC"
44,2009,349943.0,349943.0,349943.0,2009-06-25,004625328,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
45,2009,15000.0,15000.0,15000.0,2009-09-18,831854190,"BUFFALO PROTECTION & INVESTIGATION, INC."
46,2009,0.0,0.0,0.0,2009-09-30,014423227,WU CONSULTING LIMITED LIABILITY COMPANY
47,2009,55805.25,55805.25,279026.25,2009-09-14,942408766,M A FEDERAL INCORPORATED (2233)
48,2009,195000.0,195000.0,967000.0,2009-06-30,174708904,FINANCIAL TRACKING TECHNOLOGIES LLC
49,2009,5294.58,5294.58,5294.58,2009-09-21,098692374,IMMIXTECHNOLOGY INC
50,2009,26522.45,26522.45,26522.45,2009-05-29,039405365,"TROUX TECHNOLOGIES, INC"
51,2009,582372.71,582372.71,582372.71,2009-09-16,006928857,BOOZ ALLEN HAMILTON INC.
52,2009,209418.2,209418.2,209418.2,2009-09-17,148095086,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
53,2009,678374.71,678374.71,678374.71,2009-09-19,148095086,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
