,noofaward,total,recipient_duns,recipient_name
0,38,"$684,095,043.44",139727148,ACCENTURE FEDERAL SERVICES LLC
1,212,"$318,794,461.15",150780674,UNISYS CORPORATION
2,48,"$95,964,956.04",103629288,"DELMOCK TECHNOLOGIES, INC"
3,63,"$92,394,850.99",004649125,BAE SYSTEMS INFORMATION TECHNOLOGY INC.
4,18,"$65,803,385.95",805258373,"LOCKHEED MARTIN SERVICES, INC"
5,10,"$49,084,499.00",077817617,"ELECTRONIC DATA SYSTEMS, LLC"
6,2,"$45,952,919.27",808289727,"AES TECHNOLOGY, LLC"
7,2,"$30,015,657.00",162823777,BOOZ ALLEN HAMILTON INCORPORATED (3626)
8,29,"$30,002,065.69",107939357,GTSI CORPORATION
9,25,"$28,565,252.83",018193669,INTEGRAL CONSULTING SERVICES INCORPORATED
10,1,"$27,918,964.80",164202897,LADUCER AND ASSOCIATES INCORPORATED
11,57,"$27,872,639.34",824841477,FUTURENET GROUP
12,4,"$27,618,881.77",780414652,"STG, INC."
13,5,"$26,974,471.52",966453771,ABSI CORPORATION
14,3,"$26,090,433.66",019121586,DELOITTE CONSULTING LLP
