,contract_award_unique_key,base_and_exercised_options_value,action_date_fiscal_year,period_of_performance_start_date,period_of_performance_current_end_date,product_or_service_code,product_or_service_code_description,recipient_duns,recipient_name,extent_competed,period_of_performance_potential_end_date,solicitation_procedures,naics_code,naics_description,usaspending_permalink,number_of_offers_received,rank
0,CONT_AWD_TIRNO10C00022_2050_-NONE-_-NONE-,0.0,2010,2010-05-01,2011-04-30,D302,ADP SYSTEMS DEVELOPMENT SERVICES,139727148,"ACCENTURE NATIONAL SECURITY SERVICES, LLC",FULL AND OPEN COMPETITION,2015-04-30,NEGOTIATED PROPOSAL/QUOTE,541512,COMPUTER SYSTEMS DESIGN SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_TIRNO10C00022_2050_-NONE-_-NONE-/,15.0,0
1,CONT_AWD_TIRNO11D000410002_2050_TIRNO11D00041_2050,13506053.03,2011,2011-08-10,2012-08-31,D399,OTHER ADP & TELECOMMUNICATIONS SVCS,139727148,ACCENTURE FEDERAL SERVICES LLC,FULL AND OPEN COMPETITION,2014-08-31,NEGOTIATED PROPOSAL/QUOTE,541512,COMPUTER SYSTEMS DESIGN SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_TIRNO11D000410002_2050_TIRNO11D00041_2050/,4.0,0
2,CONT_AWD_TIRNO11D000410003_2050_TIRNO11D00041_2050,3265262.01,2011,2011-08-10,2012-08-31,D399,OTHER ADP & TELECOMMUNICATIONS SVCS,139727148,ACCENTURE FEDERAL SERVICES LLC,FULL AND OPEN COMPETITION,2014-08-31,NEGOTIATED PROPOSAL/QUOTE,541512,COMPUTER SYSTEMS DESIGN SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_TIRNO11D000410003_2050_TIRNO11D00041_2050/,4.0,0
3,CONT_AWD_TIRNO11D000410001_2050_TIRNO11D00041_2050,0.0,2011,2011-08-09,2012-08-31,D399,OTHER ADP & TELECOMMUNICATIONS SVCS,139727148,ACCENTURE FEDERAL SERVICES LLC,FULL AND OPEN COMPETITION,2014-08-31,NEGOTIATED PROPOSAL/QUOTE,541512,COMPUTER SYSTEMS DESIGN SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_TIRNO11D000410001_2050_TIRNO11D00041_2050/,4.0,0
4,CONT_AWD_TIRNO11D000410004_2050_TIRNO11D00041_2050,4134516.82,2011,2011-08-23,2012-08-31,D399,OTHER ADP & TELECOMMUNICATIONS SVCS,139727148,ACCENTURE FEDERAL SERVICES LLC,FULL AND OPEN COMPETITION,2014-08-31,NEGOTIATED PROPOSAL/QUOTE,541512,COMPUTER SYSTEMS DESIGN SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_TIRNO11D000410004_2050_TIRNO11D00041_2050/,4.0,0
5,CONT_AWD_TIRNO11D000410009_2050_TIRNO11D00041_2050,22000000.0,2012,2012-08-24,2014-02-28,D399,IT AND TELECOM- OTHER IT AND TELECOMMUNICATIONS,139727148,ACCENTURE FEDERAL SERVICES LLC,FULL AND OPEN COMPETITION,2014-02-28,NEGOTIATED PROPOSAL/QUOTE,541512,COMPUTER SYSTEMS DESIGN SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_TIRNO11D000410009_2050_TIRNO11D00041_2050/,4.0,0
6,CONT_AWD_TIRNO11D000410007_2050_TIRNO11D00041_2050,5000000.0,2012,2012-08-10,2013-08-09,D399,IT AND TELECOM- OTHER IT AND TELECOMMUNICATIONS,139727148,ACCENTURE FEDERAL SERVICES LLC,FULL AND OPEN COMPETITION,2015-08-09,NEGOTIATED PROPOSAL/QUOTE,541512,COMPUTER SYSTEMS DESIGN SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_TIRNO11D000410007_2050_TIRNO11D00041_2050/,4.0,0
7,CONT_AWD_TIRNO11D000410006_2050_TIRNO11D00041_2050,537559.84,2012,2012-03-23,2012-05-20,D306,IT AND TELECOM- SYSTEMS ANALYSIS,139727148,ACCENTURE FEDERAL SERVICES LLC,FULL AND OPEN COMPETITION,2012-05-20,NEGOTIATED PROPOSAL/QUOTE,541512,COMPUTER SYSTEMS DESIGN SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_TIRNO11D000410006_2050_TIRNO11D00041_2050/,4.0,0
8,CONT_AWD_TIRNO11D000410008_2050_TIRNO11D00041_2050,19476456.0,2012,2012-08-21,2012-11-30,D399,IT AND TELECOM- OTHER IT AND TELECOMMUNICATIONS,139727148,ACCENTURE FEDERAL SERVICES LLC,FULL AND OPEN COMPETITION,2012-11-30,NEGOTIATED PROPOSAL/QUOTE,541512,COMPUTER SYSTEMS DESIGN SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_TIRNO11D000410008_2050_TIRNO11D00041_2050/,4.0,0
9,CONT_AWD_TIRNO12Z000030003_2050_GS35F0371N_4730,2375579.0,2012,2012-07-10,2013-04-30,R699,SUPPORT- ADMINISTRATIVE: OTHER,139727148,ACCENTURE NATIONAL SECURITY SERVICES LIMITED LIABILITY COMPANY,FULL AND OPEN COMPETITION,2013-04-30,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,541519,OTHER COMPUTER RELATED SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_TIRNO12Z000030003_2050_GS35F0371N_4730/,1.0,0
