,action_date_fiscal_year,base_and_exercised_options_value,federal_action_obligation,base_and_all_options_value,action_date,recipient_duns,recipient_name
0,2009,43810.4,43810.4,43810.4,2009-08-26,831063904,LORAL FEDERAL SYSTEMS COMPANY
1,2009,1072128.0,1072128.0,1072128.0,2009-06-10,116207978,"APPTIS, INC."
2,2009,493186.15,493186.15,493186.15,2009-03-20,107939357,GTSI CORPORATION
3,2009,65722.44,65722.44,65722.44,2009-03-18,831063904,LORAL FEDERAL SYSTEMS COMPANY
4,2009,13153.0,13153.0,13153.0,2008-12-10,626073282,DUTHIE ASSOCIATES INCORPORATED
5,2009,175108.8,175108.8,175108.8,2009-09-16,118330203,CONVERGE NETWORKS CORPORATION
6,2009,93400.0,93400.0,0.0,2008-11-26,097220180,"GARTNER, INC."
7,2009,593759.29,593759.29,593759.29,2009-07-01,831063904,LORAL FEDERAL SYSTEMS COMPANY
8,2009,244313.0,244313.0,244313.0,2009-07-15,621599893,A T & T CORP
9,2009,17079.64,17079.64,17079.64,2009-08-19,966833766,"SWORD & SHIELD ENTERPRISE SECURITY, INC."
10,2009,8459842.95,8459842.95,8459842.95,2009-04-10,831063904,LORAL FEDERAL SYSTEMS COMPANY
11,2009,13051.84,13051.84,13051.84,2009-05-20,088365767,CARAHSOFT TECHNOLOGY CORPORATION
12,2009,29863.44,29863.44,29863.44,2009-01-23,966453771,ABSI CORPORATION
13,2009,99129.93,99129.93,99129.93,2009-09-28,011506149,TECHNATOMY CORPORATION
14,2009,126305.07,126305.07,126305.07,2009-08-29,116207978,"APPTIS, INC."
15,2009,50332.2,50332.2,50332.2,2009-09-21,831063904,LORAL FEDERAL SYSTEMS COMPANY
16,2009,745831.5,745831.5,745831.5,2009-05-01,786502778,SAVVIS FEDERAL SYSTEMS INCORPORATED
17,2009,149810.6,149810.6,149810.6,2009-09-09,175320761,"APPTIS (MCLEAN), INC"
18,2009,56873.44,56873.44,56873.44,2009-09-30,116193400,"ADVANCED COMPUTER CONCEPTS, IN"
19,2009,55993.94,55993.94,55993.94,2009-07-17,831063904,LORAL FEDERAL SYSTEMS COMPANY
20,2009,23813.66,23813.66,23813.66,2009-08-31,966833766,"SWORD & SHIELD ENTERPRISE SECURITY, INC."
21,2009,435883.05,435883.05,435883.05,2009-05-19,017631941,"VISION TECHNOLOGIES, INC."
22,2009,29047.0,29047.0,29047.0,2009-06-25,150780674,UNISYS CORPORATION
23,2009,195422.16,195422.16,195422.16,2009-09-09,966453771,ABSI CORPORATION
24,2009,2205.0,2205.0,2205.0,2008-10-16,112881362,PRODUCTIVITY QUALITY SYSTEMS INC
25,2009,20960.0,20960.0,0.0,2009-08-31,097220180,"GARTNER, INC."
26,2009,8089386.74,2595335.2,8089386.74,2009-09-30,019121586,DELOITTE CONSULTING L.P.
27,2009,136370.11,136370.11,136370.11,2008-10-30,805258373,"LOCKHEED MARTIN SERVICES, INC"
28,2009,2492068.08,2492068.08,4352773.62,2009-09-01,830200650,"FEDERAL EPERMITS, LLC"
29,2009,95500.0,95500.0,95500.0,2009-04-29,602742137,IT FEDERAL SALES LIMITED LIABILITY COMPANY
30,2009,540335.0,540335.0,540335.0,2009-02-27,958851615,INFORMATION BUILDERS INCORPORATED
31,2009,328013.68,328013.68,0.0,2009-04-24,019121586,DELOITTE CONSULTING L.P.
32,2009,69750.0,69750.0,69750.0,2009-05-29,801138389,ASPEX INCORPORATED
33,2009,4598685.0,4598685.0,4598685.0,2009-05-01,116207978,"APPTIS, INC."
34,2009,190791.0,182750.0,190791.0,2009-06-15,116207978,"APPTIS, INC."
35,2009,5744000.0,5744000.0,0.0,2008-10-06,099995870,XEROX CORPORATION
36,2009,1400000.0,1400000.0,1400000.0,2008-12-24,621599893,A T & T CORP
37,2009,8090.0,8090.0,8090.0,2008-12-23,076648901,INTEREX SOFTWARE INC
38,2009,1050331.45,1050331.45,1050331.45,2008-12-31,786468199,"DLT SOLUTIONS, INC."
39,2009,2190585.22,2190585.22,2190585.22,2008-10-01,144202843,STANLEY ASSOCIATES INC
40,2009,582448.0,582448.0,582448.0,2008-11-21,150780674,UNISYS CORPORATION
41,2009,619590.0,619590.0,619590.0,2008-11-20,883093390,METROSTUDY
42,2009,78764.0,78764.0,78764.0,2009-09-17,107939357,GTSI CORPORATION
43,2009,7080.0,7080.0,7080.0,2008-10-01,835705906,GEONORTH LLC
44,2009,5000.0,5000.0,5000.0,2008-12-22,958851615,INFORMATION BUILDERS INCORPORATED
45,2009,19578.0,19578.0,19578.0,2009-03-09,801138389,ASPEX INCORPORATED
46,2009,199727.5,199727.5,199727.5,2008-12-19,116207978,"APPTIS, INC."
47,2009,49879.65,49879.65,49879.65,2009-01-05,831063904,LORAL FEDERAL SYSTEMS COMPANY
48,2009,88745.25,88745.25,88745.25,2009-08-31,831063904,LORAL FEDERAL SYSTEMS COMPANY
49,2009,42587.2,42587.2,42587.2,2008-12-29,837829084,TECHNICA CORPORATION
50,2009,1426.92,1426.92,1426.92,2009-05-04,127327877,"KADIX SYSTEMS, LLC"
51,2009,243552.0,243552.0,243552.0,2008-12-09,096027870,ACCELERA SOLUTIONS INCORPORATED
52,2009,8970.0,8970.0,8970.0,2009-04-15,107939357,GTSI CORPORATION
53,2009,881244.0,881244.0,881244.0,2009-08-21,116207978,"APPTIS, INC."
54,2009,86927.0,86927.0,0.0,2009-07-17,097220180,"GARTNER, INC."
55,2009,35430.1,35430.1,35430.1,2009-06-29,116207978,"APPTIS, INC."
56,2009,5991.81,5991.81,5991.81,2009-04-10,051237027,FEDSTORE CORPORATION
57,2009,32640.0,32640.0,32640.0,2008-10-10,125069489,EMC CORPORATION
58,2009,469813.0,469813.0,469813.0,2009-08-14,808351238,INDICIUM TECHNOLOGIES INC.
59,2009,80134.0,80134.0,80134.0,2009-03-11,621599893,A T & T CORP
60,2009,359484.8,359484.8,359484.8,2009-09-08,084919489,"EDITORIAL EXPERTS, INC"
61,2009,8139285.55,8139285.55,44419269.55,2008-12-31,808289727,"AES TECHNOLOGY, LLC"
62,2009,11659928.96,11659928.96,12659928.96,2009-09-29,805258373,"LOCKHEED MARTIN SERVICES, INC"
63,2009,202329.87,202329.87,202329.87,2009-02-19,831063904,LORAL FEDERAL SYSTEMS COMPANY
64,2009,7576.85,7576.85,7576.85,2009-05-19,017631941,"VISION TECHNOLOGIES, INC."
