,contract_award_unique_key,base_and_exercised_options_value,action_date_fiscal_year,period_of_performance_start_date,period_of_performance_current_end_date,product_or_service_code,product_or_service_code_description,recipient_duns,recipient_name,extent_competed,period_of_performance_potential_end_date,solicitation_procedures,naics_code,naics_description,usaspending_permalink,number_of_offers_received,rank
0,CONT_AWD_AG3151C120032_12D2_-NONE-_-NONE-,5370719.2,2012,2012-09-28,2013-09-27,D302,IT AND TELECOM- SYSTEMS DEVELOPMENT,028619588,22ND CENTURY TECHNOLOGIES INC.,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,2017-09-27,NEGOTIATED PROPOSAL/QUOTE,541511,CUSTOM COMPUTER PROGRAMMING SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_AG3151C120032_12D2_-NONE-_-NONE-/,5,0
1,CONT_AWD_AG3151D140155_12D2_AG3151C140051_12D2,3222376.6,2014,2014-09-30,2015-09-29,D302,IT AND TELECOM- SYSTEMS DEVELOPMENT,028619588,22ND CENTURY TECHNOLOGIES INC.,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,2015-09-29,NEGOTIATED PROPOSAL/QUOTE,541511,CUSTOM COMPUTER PROGRAMMING SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_AG3151D140155_12D2_AG3151C140051_12D2/,5,0
2,CONT_AWD_AG3151D140154_12D2_AG3151C140051_12D2,6094613.4,2014,2014-09-30,2015-09-29,D302,IT AND TELECOM- SYSTEMS DEVELOPMENT,028619588,22ND CENTURY TECHNOLOGIES INC.,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,2019-09-29,NEGOTIATED PROPOSAL/QUOTE,541511,CUSTOM COMPUTER PROGRAMMING SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_AG3151D140154_12D2_AG3151C140051_12D2/,5,0
3,CONT_AWD_AG3151D150177_12D2_AG3151C140051_12D2,1213050.0,2015,2015-09-25,2016-09-27,D302,IT AND TELECOM- SYSTEMS DEVELOPMENT,028619588,22ND CENTURY TECHNOLOGIES INC.,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,2019-09-27,NEGOTIATED PROPOSAL/QUOTE,541511,CUSTOM COMPUTER PROGRAMMING SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_AG3151D150177_12D2_AG3151C140051_12D2/,5,0
4,CONT_AWD_AG3151D150183_12D2_AG3151C140051_12D2,11155954.0,2015,2015-09-26,2016-09-27,D302,IT AND TELECOM- SYSTEMS DEVELOPMENT,028619588,22ND CENTURY TECHNOLOGIES INC.,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,2019-09-27,NEGOTIATED PROPOSAL/QUOTE,541511,CUSTOM COMPUTER PROGRAMMING SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_AG3151D150183_12D2_AG3151C140051_12D2/,5,0
5,CONT_AWD_AG3151D150200_12D2_AG3151C140051_12D2,969750.0,2015,2015-09-30,2016-09-29,D302,IT AND TELECOM- SYSTEMS DEVELOPMENT,028619588,22ND CENTURY TECHNOLOGIES INC.,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,2016-09-29,NEGOTIATED PROPOSAL/QUOTE,541511,CUSTOM COMPUTER PROGRAMMING SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_AG3151D150200_12D2_AG3151C140051_12D2/,5,0
6,CONT_AWD_AG3151D170064_12D2_AG3151C140051_12D2,1537580.0,2017,2017-04-28,2018-05-02,D302,IT AND TELECOM- SYSTEMS DEVELOPMENT,028619588,22ND CENTURY TECHNOLOGIES INC.,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,2018-05-02,NEGOTIATED PROPOSAL/QUOTE,541511,CUSTOM COMPUTER PROGRAMMING SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_AG3151D170064_12D2_AG3151C140051_12D2/,5,0
0,CONT_AWD_AG31MED100007_12E3_AG31MEC090021_12E3,1580649.71,2010,2009-10-16,2010-12-31,D399,OTHER ADP & TELECOMMUNICATIONS SVCS,150780674,UNISYS CORPORATION,FULL AND OPEN COMPETITION,2010-12-31,NEGOTIATED PROPOSAL/QUOTE,541511,CUSTOM COMPUTER PROGRAMMING SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_AG31MED100007_12E3_AG31MEC090021_12E3/,1,1
1,CONT_AWD_AG31MED090009_12E3_AG31MEC070010_12E3,1788087.95,2009,2009-05-21,2010-09-30,D399,OTHER ADP & TELECOMMUNICATIONS SVCS,150780674,UNISYS CORPORATION,,2010-09-30,NEGOTIATED PROPOSAL/QUOTE,541512,COMPUTER SYSTEMS DESIGN SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_AG31MED090009_12E3_AG31MEC070010_12E3/,1,1
2,CONT_AWD_AG31MED100002_12E3_AG31MEC090021_12E3,1189765.64,2010,2009-10-13,2010-12-31,D399,OTHER ADP & TELECOMMUNICATIONS SVCS,150780674,UNISYS CORPORATION,FULL AND OPEN COMPETITION,2010-12-31,NEGOTIATED PROPOSAL/QUOTE,541511,CUSTOM COMPUTER PROGRAMMING SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_AG31MED100002_12E3_AG31MEC090021_12E3/,1,1
