,action_date_fiscal_year,base_and_exercised_options_value,federal_action_obligation,base_and_all_options_value,action_date,recipient_duns,recipient_name
0,2009,854883.0,0.0,0.0,2009-09-25,157031076,"VISUALPOINT, INC."
1,2009,0.0,0.0,0.0,2009-09-21,009039939,COMMUNICATIONS RESOURCE INC
2,2009,25000.0,25000.0,25000.0,2009-09-23,074334264,MANAGEMENT & ENGINEERING TECH
3,2009,94520.0,94520.0,94520.0,2009-06-09,178221391,"GLACIER TECHNOLOGIES, LLC"
4,2009,983212.8,983212.8,4292834.2,2009-05-05,077817617,ELECTRONIC DATA SYSTEMS CORPORATION
5,2009,21608.2,21608.2,21608.2,2009-04-27,141089040,TKC INTEGRATION SERVICES LIMITED LIABILITY COMPANY
6,2009,29992.9,29992.9,29992.9,2009-09-30,009039939,COMMUNICATIONS RESOURCE INC
7,2009,7031.44,7031.44,0.0,2009-08-28,141089040,TKC INTEGRATION SERVICES LIMITED LIABILITY COMPANY
8,2009,160520.0,160520.0,160520.0,2009-04-01,098692374,IMMIXTECHNOLOGY INC
9,2009,9742.32,9742.32,0.0,2009-09-30,038085549,EVERGREEN INFORMATION TECHNOLO
10,2009,17000.0,17000.0,17000.0,2009-09-23,009039939,COMMUNICATIONS RESOURCE INC
11,2009,2034.65,2034.65,2034.65,2009-07-06,133357199,"APPLIED TACTICS, INC"
12,2009,1613988.0,1613988.0,0.0,2009-06-03,116207978,APPTIS INCORPORATED
13,2009,130000.0,130000.0,0.0,2009-01-28,079941139,SENET INTERNATIONAL CORPORATIO
14,2009,40792.48,40792.48,40792.48,2009-05-26,070993162,ACE INFO SOLUTIONS INCORPORATED
15,2009,10120.6,10120.6,0.0,2009-09-18,038085549,EVERGREEN INFORMATION TECHNOLO
16,2009,44126.0,44126.0,44126.0,2009-04-03,015673833,"WALKER COMMUNICATIONS, INC."
17,2009,18819.94,18819.94,0.0,2009-06-18,157031076,"VISUALPOINT, INC."
18,2009,2127174.06,2127174.06,2127174.06,2009-09-17,832162536,"DKW COMMUNICATIONS, INC."
19,2009,53430.0,53430.0,53430.0,2009-06-19,848630042,"NORTH AMERICAN SYSTEMS INTERNATIONAL, INC."
20,2009,11483.85,11483.85,11483.85,2009-05-01,966833766,"SWORD & SHIELD ENTERPRISE SECURITY, INC."
21,2009,152504.0,152504.0,152504.0,2009-08-04,603814054,"GOVERNMENT ACQUISITIONS, INC."
22,2009,51142.6,51142.6,0.0,2009-03-23,079941139,SENET INTERNATIONAL CORPORATIO
23,2009,5560.0,5560.0,5560.0,2009-06-03,799454061,"ENTRUST, INC."
24,2009,3027.0,3027.0,3027.0,2009-09-03,883894040,VERISIGN INCORPORATED
25,2009,38667.38,38667.38,0.0,2009-04-27,083139639,ST NET INCORPORATED
26,2009,29553.0,29553.0,29553.0,2009-09-11,178221391,"GLACIER TECHNOLOGIES, LLC"
