,contract_award_unique_key,base_and_exercised_options_value,action_date_fiscal_year,period_of_performance_start_date,period_of_performance_current_end_date,product_or_service_code,product_or_service_code_description,recipient_duns,recipient_name,extent_competed,period_of_performance_potential_end_date,solicitation_procedures,naics_code,naics_description,usaspending_permalink,number_of_offers_received,rank
0,CONT_AWD_VA11815C0767_3600_-NONE-_-NONE-,46309131.24,2016,2015-10-01,2020-09-30,D318,"IT AND TELECOM- INTEGRATED HARDWARE/SOFTWARE/SERVICES SOLUTIONS, PREDOMINANTLY SERVICES",797407517,"NUANCE COMMUNICATIONS, INC.",FULL AND OPEN COMPETITION,2020-09-30,NEGOTIATED PROPOSAL/QUOTE,541519,OTHER COMPUTER RELATED SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_VA11815C0767_3600_-NONE-_-NONE-/,1,0
0,CONT_AWD_V671A90082_3600_NNG07DA25B_8000,22377.92,2009,2009-03-06,2009-03-11,7021,ADP CENTRAL PROCESSING UNIT-DIGITAL,933678708,RED RIVER COMPUTER COMPANY INCORPORATED,,2009-03-11,NEGOTIATED PROPOSAL/QUOTE,541519,OTHER COMPUTER RELATED SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_V671A90082_3600_NNG07DA25B_8000/,2,1
1,CONT_AWD_VA702C00003_3600_NNG07DA25B_8000,196341.98,2010,2009-10-26,2009-11-30,7035,ADP SUPPORT EQUIPMENT,933678708,RED RIVER COMPUTER COMPANY INCORPORATED,,2009-11-30,NEGOTIATED PROPOSAL/QUOTE,541519,OTHER COMPUTER RELATED SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_VA702C00003_3600_NNG07DA25B_8000/,4,1
2,CONT_AWD_VA503S95008_3600_NNG07DA25B_8000,182017.57,2009,2009-09-08,2009-10-30,J058,MAINT-REP OF COMMUNICATION EQ,933678708,RED RIVER COMPUTER COMPANY INCORPORATED,,2009-11-16,NEGOTIATED PROPOSAL/QUOTE,541519,OTHER COMPUTER RELATED SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_VA503S95008_3600_NNG07DA25B_8000/,6,1
3,CONT_AWD_V509A90540_3600_NNG07DA25B_8000,4291.59,2009,2009-04-28,2009-05-08,5805,TELEPHONE AND TELEGRAPH EQUIPMENT,933678708,RED RIVER COMPUTER COMPANY INCORPORATED,,2009-05-08,NEGOTIATED PROPOSAL/QUOTE,541519,OTHER COMPUTER RELATED SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_V509A90540_3600_NNG07DA25B_8000/,1,1
4,CONT_AWD_VA659A90419_3600_NNG07DA25B_8000,141274.43,2009,2009-04-13,2009-05-30,7035,ADP SUPPORT EQUIPMENT,933678708,RED RIVER COMPUTER COMPANY INCORPORATED,,2009-05-30,NEGOTIATED PROPOSAL/QUOTE,541519,OTHER COMPUTER RELATED SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_VA659A90419_3600_NNG07DA25B_8000/,3,1
5,CONT_AWD_V542P96072_3600_NNG07DA25B_8000,15602.34,2009,2009-09-22,2009-10-23,7035,ADP SUPPORT EQUIPMENT,933678708,RED RIVER COMPUTER COMPANY INCORPORATED,,2009-10-23,NEGOTIATED PROPOSAL/QUOTE,541519,OTHER COMPUTER RELATED SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_V542P96072_3600_NNG07DA25B_8000/,1,1
6,CONT_AWD_VA517A90236_3600_NNG07DA25B_8000,208885.45,2009,2009-09-30,2009-12-31,7035,ADP SUPPORT EQUIPMENT,933678708,RED RIVER COMPUTER COMPANY INCORPORATED,COMPETITIVE DELIVERY ORDER,2009-12-31,NEGOTIATED PROPOSAL/QUOTE,541519,OTHER COMPUTER RELATED SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_VA517A90236_3600_NNG07DA25B_8000/,1,1
7,CONT_AWD_VA702C90068_3600_NNG07DA25B_8000,38542.55,2009,2009-08-26,2009-09-14,7025,ADP INPUT/OUTPUT & STORAGE DEVICES,933678708,RED RIVER COMPUTER COMPANY INCORPORATED,COMPETITIVE DELIVERY ORDER,2009-09-14,NEGOTIATED PROPOSAL/QUOTE,541519,OTHER COMPUTER RELATED SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_VA702C90068_3600_NNG07DA25B_8000/,8,1
8,CONT_AWD_V508Q98391_3600_NNG07DA25B_8000,6748.92,2009,2009-09-18,2009-09-18,7030,ADP SOFTWARE,933678708,RED RIVER COMPUTER COMPANY INCORPORATED,,2009-09-18,NEGOTIATED PROPOSAL/QUOTE,541519,OTHER COMPUTER RELATED SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_V508Q98391_3600_NNG07DA25B_8000/,1,1
9,CONT_AWD_VA655A90109_3600_NNG07DA25B_8000,35411.83,2009,2009-09-16,2009-10-11,7030,ADP SOFTWARE,933678708,RED RIVER COMPUTER COMPANY INCORPORATED,COMPETITIVE DELIVERY ORDER,2009-10-11,NEGOTIATED PROPOSAL/QUOTE,541519,OTHER COMPUTER RELATED SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_VA655A90109_3600_NNG07DA25B_8000/,1,1
10,CONT_AWD_V501S96007_3600_NNG07DA25B_8000,15736.08,2009,2009-06-09,2010-06-09,J070,MAINT-REP OF ADP EQ & SUPPLIES,933678708,RED RIVER COMPUTER COMPANY INCORPORATED,,2010-06-09,NEGOTIATED PROPOSAL/QUOTE,541519,OTHER COMPUTER RELATED SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_V501S96007_3600_NNG07DA25B_8000/,1,1
11,CONT_AWD_VA11815C0100_3600_-NONE-_-NONE-,39439353.92,2015,2014-10-01,2015-09-30,D320,IT AND TELECOM- ANNUAL HARDWARE MAINTENANCE SERVICE PLANS,933678708,"RED RIVER COMPUTER CO., INC.",FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,2019-09-30,NEGOTIATED PROPOSAL/QUOTE,541519,OTHER COMPUTER RELATED SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_VA11815C0100_3600_-NONE-_-NONE-/,6,1
12,CONT_AWD_VA11817C2459_3600_-NONE-_-NONE-,4547036.12,2017,2017-09-25,2018-09-24,D399,IT AND TELECOM- OTHER IT AND TELECOMMUNICATIONS,933678708,"RED RIVER COMPUTER CO., INC.",FULL AND OPEN COMPETITION,2019-09-24,NEGOTIATED PROPOSAL/QUOTE,541512,COMPUTER SYSTEMS DESIGN SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_VA11817C2459_3600_-NONE-_-NONE-/,4,1
0,CONT_AWD_V200P2076_3600_W91QUZ06A0003_9700,4178795.98,2009,2008-09-26,2009-11-25,D311,ADP DATA CONVERSION SERVICES,013358002,"MYTHICS, INC",FULL AND OPEN COMPETITION,2013-11-25,NEGOTIATED PROPOSAL/QUOTE,541519,OTHER COMPUTER RELATED SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_V200P2076_3600_W91QUZ06A0003_9700/,2,2
1,CONT_AWD_V0683_3600_W91QUZ06A0003_9700,414942.57,2010,2010-03-09,2011-03-08,7030,ADP SOFTWARE,013358002,"MYTHICS, INC",FULL AND OPEN COMPETITION,2013-03-08,NEGOTIATED PROPOSAL/QUOTE,541519,OTHER COMPUTER RELATED SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_V0683_3600_W91QUZ06A0003_9700/,2,2
2,CONT_AWD_VA11810F0153_3600_W91QUZ06A0003_9700,33283322.93,2010,2010-05-28,2013-05-27,7030,ADP SOFTWARE,013358002,"MYTHICS, INC",FULL AND OPEN COMPETITION,2015-05-27,NEGOTIATED PROPOSAL/QUOTE,541519,OTHER COMPUTER RELATED SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_VA11810F0153_3600_W91QUZ06A0003_9700/,2,2
