,action_date_fiscal_year,base_and_exercised_options_value,federal_action_obligation,base_and_all_options_value,action_date,recipient_duns,recipient_name
0,2009,4515.32,4515.32,4515.32,2009-02-23,026157235,CDW GOVERNMENT INCORPORATED
1,2009,25231.8,25231.8,25231.8,2008-10-23,098692374,IMMIXTECHNOLOGY INCORPORATED
2,2009,682979.68,682979.68,682979.68,2008-10-01,790228811,RDI SYSTEMS INC
3,2009,9313333.92,9313333.92,9313333.92,2008-10-01,145454182,MICROTECHNOLOGIES LLC
4,2009,345000.0,345000.0,345000.0,2008-10-01,095471327,STENTOR INCORPORATED
5,2009,26488.94,26488.94,26488.94,2008-12-31,116207978,APPTIS INC
6,2009,219000.0,219000.0,1088307.0,2008-12-12,968904698,CELLCO PARTNERSHIP DBA VERIZON WIRELESS
7,2009,699270.4,699270.4,699270.4,2008-10-01,790228811,RDI SYSTEMS INC
8,2009,3151.92,3151.92,3151.92,2008-10-01,003548489,AT&T MOBILITY LLC
9,2009,40000.0,40000.0,40000.0,2008-10-01,003548489,AT&T MOBILITY LLC
10,2009,387813.0,387813.0,387813.0,2008-10-01,966833766,"SWORD & SHIELD ENTERPRISE SECURITY, INC."
11,2009,1502564.04,1502564.04,1502564.04,2008-10-01,022534205,PENOBSCOT BAY MEDIA LLC
12,2009,106828.0,106828.0,106828.0,2008-10-15,062056788,NETWORK EXECUTIVE SOFTWARE INC
13,2009,84826.56,84826.56,84826.56,2008-11-16,098692374,IMMIXTECHNOLOGY INCORPORATED
14,2009,52657.54,52657.54,52657.54,2008-10-23,154050959,THE PRESIDIO CORPORATION
15,2009,240000.0,240000.0,240000.0,2008-10-01,178617031,QWEST GOVERNMENT SERVICES INC
16,2009,589044.72,589044.72,0.0,2008-11-10,077817617,ELECTRONIC DATA SYSTEMS CORPORATION
17,2009,388398.01,388398.01,388398.01,2008-12-05,098692374,IMMIXTECHNOLOGY INCORPORATED
18,2009,27420.0,27420.0,27420.0,2008-12-23,175897404,AEGISANT INC
19,2009,750308.64,750308.64,750308.64,2008-10-01,790228811,RDI SYSTEMS INC
20,2009,10600.0,10600.0,10600.0,2008-10-14,362200417,"AMERICAN VETERANS, LLC"
21,2009,35367.2,35367.2,35367.2,2008-12-09,942408766,M A FEDERAL INCORPORATED (2233)
22,2009,124181.18,124181.18,124181.18,2008-10-01,966833766,"SWORD & SHIELD ENTERPRISE SECURITY, INC."
23,2009,12868.06,12868.06,12868.06,2008-11-24,966833766,"SWORD & SHIELD ENTERPRISE SECURITY, INC."
24,2009,450.0,450.0,450.0,2008-10-17,061079273,RICOH AMERICAS CORPORATION
25,2009,20610.44,20610.44,20610.44,2008-10-15,877953737,INDUS SYSTEMS INC
26,2009,256736.89,256736.89,256736.89,2008-11-24,160759135,ALVAREZ AND ASSOCIATES LIMITED LIABILITY COMPANY
27,2009,291588.0,291588.0,291588.0,2008-10-01,958220790,SCIMAGE INCORPORATED
28,2009,222737.26,222737.26,222737.26,2008-11-24,160759135,ALVAREZ AND ASSOCIATES LIMITED LIABILITY COMPANY
29,2009,28125.0,28125.0,28125.0,2008-10-30,107939357,GTSI CORPORATION
30,2009,423336.0,423336.0,2295336.0,2008-10-01,107939357,GTSI CORPORATION
31,2009,1165679.0,1165679.0,1780991.26,2008-10-01,877953737,INDUS SYSTEMS INC
32,2009,134285.72,134285.72,134285.72,2008-10-01,098692374,IMMIXTECHNOLOGY INC
33,2009,13666.96,13666.96,13666.96,2008-12-11,145454182,MICROTECHNOLOGIES LLC
34,2009,1622171.0,1622171.0,1622171.0,2008-11-18,196031173,"CTG, INC."
35,2009,510123.0,510123.0,510123.0,2008-12-10,053490988,"COOPER THOMAS, LLC"
36,2009,182843.43,182843.43,182843.43,2008-12-04,792975781,"DOCUMENT STORAGE SYSTEMS, INC"
37,2009,4200.0,4200.0,4200.0,2008-10-01,003548489,AT&T MOBILITY LLC
38,2009,3343964.88,3343964.88,3343964.88,2008-11-19,783193175,THREE WIRE SYSTEMS
39,2009,29897.52,29897.52,29897.52,2008-10-28,157637570,G C MICRO CORPORATION
40,2009,4178795.98,4178795.98,9878729.34,2008-11-25,013358002,"MYTHICS, INC"
41,2009,833733.0,833733.0,833733.0,2008-10-10,966833766,"SWORD & SHIELD ENTERPRISE SECURITY, INC."
42,2009,123699.56,123699.56,123699.56,2008-11-24,160759135,ALVAREZ AND ASSOCIATES LIMITED LIABILITY COMPANY
43,2009,435628.0,435628.0,435628.0,2008-10-01,191341627,"CENTECH GROUP, INC., THE"
