action_date_fiscal_year,DHS,DOC,DOD,DOJ,GSA,HHS,SEC,TREAS,USDA,VA
2009,61941,21412,1134600,84260,932467,55355,679,35338,57521,213990
2010,63120,20952,1146277,88440,862551,63525,1021,24991,62926,217554
2011,63297,19071,1116906,97541,686435,64895,1569,22592,60454,237095
2012,61929,18748,1071281,109012,565221,65568,2074,21883,54989,172622
2013,57758,17891,984808,112881,104038,67169,1596,20995,51223,177105
2014,55042,19890,1014305,116527,105075,71517,1632,19186,55255,180475
2015,57434,28009,2865944,109768,96605,69364,1907,16426,54610,175646
2016,63467,26814,3314833,94042,92822,66019,2046,15083,58816,175115
2017,127534,21001,3308722,85976,108244,68107,1754,15563,63537,171605
2018,51160,17342,4137177,88507,113590,62976,1640,12182,61622,147358
2019,44388,15941,3975055,67383,1320568,56212,1310,11926,49973,102558
