action_date_fiscal_year,DHS,DOC,DOD,DOJ,GSA,HHS,SEC,TREAS,USDA,VA
2009,61941.0,21412.0,1134600.0,84260.0,932467.0,55355.0,679.0,35338.0,57521.0,213990.0
2010,63120.0,20952.0,1146277.0,88440.0,862551.0,63525.0,1021.0,24991.0,62926.0,217554.0
2011,63297.0,19071.0,1116906.0,97541.0,686435.0,64895.0,1569.0,22592.0,60454.0,237095.0
2012,61929.0,18748.0,1071281.0,109012.0,565221.0,65568.0,2074.0,21883.0,54989.0,172622.0
2013,57758.0,17891.0,984808.0,112881.0,104038.0,67169.0,1596.0,20995.0,51223.0,177105.0
2014,55042.0,19890.0,1014305.0,116527.0,105075.0,71517.0,1632.0,19186.0,55255.0,180475.0
2015,57434.0,28009.0,2865944.0,109768.0,96605.0,69364.0,1907.0,16426.0,54610.0,175646.0
2016,63467.0,26814.0,3314833.0,94042.0,92822.0,66019.0,2046.0,15083.0,58816.0,175115.0
2017,127534.0,21001.0,3308722.0,85976.0,108244.0,68107.0,,15563.0,63537.0,171605.0
2018,51160.0,17342.0,4137177.0,88507.0,113590.0,62976.0,,12182.0,61622.0,147358.0
2019,44388.0,15941.0,3975055.0,67383.0,1320568.0,56212.0,,11926.0,49973.0,102558.0
