action_date_fiscal_year,DHS,DOC,DOD,DOJ,GSA,HHS,SEC,TREAS,USDA,VA
2009,981.0,487.0,3442.0,616.0,1332.0,334.0,28.0,451.0,698.0,1050.0
2010,159.0,263.0,2710.0,87.0,643.0,207.0,7.0,150.0,343.0,208.0
2011,120.0,127.0,2066.0,65.0,274.0,104.0,8.0,78.0,148.0,116.0
2012,105.0,118.0,1894.0,64.0,118.0,114.0,4.0,78.0,128.0,84.0
2013,91.0,79.0,1596.0,104.0,11.0,134.0,11.0,68.0,144.0,53.0
2014,71.0,82.0,1602.0,104.0,8.0,127.0,3.0,91.0,185.0,65.0
2015,79.0,62.0,1344.0,151.0,9.0,165.0,5.0,109.0,153.0,79.0
2016,78.0,53.0,1483.0,133.0,14.0,185.0,3.0,99.0,117.0,51.0
2017,54.0,62.0,1464.0,134.0,10.0,188.0,,79.0,81.0,51.0
2018,71.0,55.0,1345.0,115.0,10.0,169.0,,85.0,44.0,40.0
2019,84.0,81.0,943.0,102.0,7.0,128.0,,55.0,20.0,46.0
